   6.0000000e+01	   2.1816311e+01	   4.2562360e+01	   2.1662049e+01	   4.2583155e+01	   1.0113373e+03	
   1.2000000e+02	   2.1846167e+01	   4.2601067e+01	   2.1676156e+01	   4.2598660e+01	   1.0113612e+03	
   1.8000000e+02	   2.1818503e+01	   4.2600673e+01	   2.1714206e+01	   4.2632752e+01	   1.0113693e+03	
   2.4000000e+02	   2.1826258e+01	   4.2586938e+01	   2.1704102e+01	   4.2597663e+01	   1.0113613e+03	
   3.0000000e+02	   2.1814511e+01	   4.2541247e+01	   2.1700618e+01	   4.2497022e+01	   1.0113759e+03	
   3.6000000e+02	   2.1802826e+01	   4.2584581e+01	   2.1673375e+01	   4.2491607e+01	   1.0114524e+03	
   4.2000000e+02	   2.1788776e+01	   4.2653398e+01	   2.1658517e+01	   4.2534343e+01	   1.0114159e+03	
   4.8000000e+02	   2.1793629e+01	   4.2801955e+01	   2.1656347e+01	   4.2610485e+01	   1.0114135e+03	
   5.4000000e+02	   2.1781636e+01	   4.2848850e+01	   2.1631108e+01	   4.2725188e+01	   1.0114212e+03	
   6.0000000e+02	   2.1782292e+01	   4.2860531e+01	   2.1632480e+01	   4.2773787e+01	   1.0114337e+03	
   6.6000000e+02	   2.1781718e+01	   4.2884823e+01	   2.1625316e+01	   4.2858477e+01	   1.0113943e+03	
   7.2000000e+02	   2.1785696e+01	   4.2921103e+01	   2.1682907e+01	   4.2933658e+01	   1.0114476e+03	
   7.8000000e+02	   2.1822564e+01	   4.3239763e+01	   2.1717402e+01	   4.2859047e+01	   1.0114864e+03	
   8.4000000e+02	   2.1830450e+01	   4.3174931e+01	   2.1760688e+01	   4.2751616e+01	   1.0114426e+03	
   9.0000000e+02	   2.1834219e+01	   4.2877555e+01	   2.1784730e+01	   4.2679220e+01	   1.0114471e+03	
   9.6000000e+02	   2.1919094e+01	   4.2605272e+01	   2.1877764e+01	   4.2472854e+01	   1.0114454e+03	
   1.0200000e+03	   2.2160229e+01	   4.2383803e+01	   2.1936383e+01	   4.2301498e+01	   1.0114711e+03	
   1.0800000e+03	   2.2690133e+01	   4.1084923e+01	   2.2004514e+01	   4.2252114e+01	   1.0114925e+03	
   1.1400000e+03	   2.3377901e+01	   3.9514196e+01	   2.2012173e+01	   4.2138560e+01	   1.0114700e+03	
   1.2000000e+03	   2.3804957e+01	   3.8288015e+01	   2.2712412e+01	   4.1223234e+01	   1.0114694e+03	
   1.2600000e+03	   2.4299292e+01	   3.7383126e+01	   2.2775059e+01	   4.0446108e+01	   1.0115098e+03	
   1.3200000e+03	   2.4971033e+01	   3.6107647e+01	   2.2634618e+01	   4.0818409e+01	   1.0115357e+03	
   1.3800000e+03	   2.5600690e+01	   3.5062698e+01	   2.2553846e+01	   4.1020026e+01	   1.0114750e+03	
   1.4400000e+03	   2.5985805e+01	   3.3996470e+01	   2.2512840e+01	   4.1136681e+01	   1.0114750e+03	
   1.5000000e+03	   2.5675303e+01	   3.4356212e+01	   2.2447157e+01	   4.1050883e+01	   1.0114653e+03	
   1.5600000e+03	   2.4773230e+01	   3.5992064e+01	   2.2364705e+01	   4.1099896e+01	   1.0114783e+03	
   1.6200000e+03	   2.4114724e+01	   3.7418649e+01	   2.2324860e+01	   4.1406017e+01	   1.0114987e+03	
   1.6800000e+03	   2.3668901e+01	   3.8763873e+01	   2.2305423e+01	   4.1409173e+01	   1.0114978e+03	
