"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Sonic"
"TIMESTAMP","RECORD","u","v","w","Ts"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2025-03-27 20:06:39.85",75,0.01452637,0.003799438,0.009658813,22.36184
"2025-03-27 20:06:39.9",76,0.01389694,0.001016617,0.01285362,22.3856
"2025-03-27 20:06:39.95",77,0.01377869,0.001893997,0.01041794,22.35905
"2025-03-27 20:06:40",78,0.01102066,0.005056381,0.01030731,22.38048
"2025-03-27 20:06:40.05",79,0.01214409,0.004535675,0.010252,22.3844
"2025-03-27 20:06:40.1",80,0.01441193,0.004743576,0.01010704,22.32971
"2025-03-27 20:06:40.15",81,0.01268959,0.003904343,0.01251984,22.35322
"2025-03-27 20:06:40.2",82,0.01426125,0.0008716583,0.01282692,22.35344
"2025-03-27 20:06:40.25",83,0.01097679,0.001144409,0.01071548,22.32808
"2025-03-27 20:06:40.3",84,0.01117516,0.0001239777,0.008413315,22.40467
"2025-03-27 20:06:40.35",85,0.01386261,0.002702713,0.008123398,22.35194
"2025-03-27 20:06:40.4",86,0.01207161,0.002866745,0.0111599,22.33251
"2025-03-27 20:06:40.45",87,0.01045036,0.004283905,0.01526642,22.35353
"2025-03-27 20:06:40.5",88,0.01063538,0.001794815,0.01283836,22.33084
"2025-03-27 20:06:40.55",89,0.01234436,0.004428864,0.01520538,22.33243
"2025-03-27 20:06:40.6",90,0.01218224,0.003875732,0.01170921,22.37574
"2025-03-27 20:06:40.65",91,0.01183701,0.001308441,0.01041412,22.33144
"2025-03-27 20:06:40.7",92,0.01178932,0.0004196167,0.01262474,22.37688
"2025-03-27 20:06:40.75",93,0.009244919,0.004213333,0.01330757,22.37529
"2025-03-27 20:06:40.8",94,0.008497238,0.002824783,0.01198959,22.33024
"2025-03-27 20:06:40.85",95,0.00487709,0.0008678436,0.01203918,22.35207
"2025-03-27 20:06:40.9",96,0.006736755,0.002815247,0.01313972,22.37471
"2025-03-27 20:06:40.95",97,0.00812149,0.003005981,0.01028633,22.35175
"2025-03-27 20:06:41",98,0.006305695,0.003087997,0.0070858,22.32871
"2025-03-27 20:06:41.05",99,0.006326675,0.003608704,0.008117676,22.33061
"2025-03-27 20:06:41.1",100,0.006000519,0.004915237,0.01092148,22.37622
"2025-03-27 20:06:41.15",101,0.006053925,0.004245758,0.01366425,22.35292
"2025-03-27 20:06:41.2",102,0.006484985,0.006103516,0.01275444,22.37153
"2025-03-27 20:06:41.25",103,0.006355286,0.004899979,0.009368896,22.35063
"2025-03-27 20:06:41.3",104,0.009725571,0.004362106,0.008262634,22.35305
"2025-03-27 20:06:41.35",105,0.007568359,0.003787994,0.007850647,22.37536
"2025-03-27 20:06:41.4",106,0.009384155,0.002290726,0.01319504,22.3513
"2025-03-27 20:06:41.45",107,0.00966835,0.001926422,0.01004028,22.35245
"2025-03-27 20:06:41.5",108,0.01165009,0.00258255,0.01148033,22.35169
"2025-03-27 20:06:41.55",109,0.009271622,0.001922607,0.006055832,22.38239
"2025-03-27 20:06:41.6",110,0.009065628,0.001775742,0.007993698,22.33061
"2025-03-27 20:06:41.65",111,0.007083893,0.002592087,0.01024437,22.34912
"2025-03-27 20:06:41.7",112,0.007993698,0.00280571,0.009815216,22.32985
"2025-03-27 20:06:41.75",113,0.01047325,0.003171921,0.009775162,22.35054
"2025-03-27 20:06:41.8",114,0.009943008,0.002119064,0.01028633,22.35327
"2025-03-27 20:06:41.85",115,0.01070213,0.002624512,0.01093864,22.3847
"2025-03-27 20:06:41.9",116,0.009183884,0.002786636,0.008211136,22.35512
"2025-03-27 20:06:41.95",117,0.007583618,0.003200531,0.008211136,22.35808
"2025-03-27 20:06:42",118,0.008943558,0.002954483,0.00907135,22.33688
"2025-03-27 20:06:42.05",119,0.01023293,0.00365448,0.01111221,22.35813
"2025-03-27 20:06:42.1",120,0.009395599,0.005170822,0.01474571,22.35301
"2025-03-27 20:06:42.15",121,0.008808136,0.002317429,0.01351929,22.35263
"2025-03-27 20:06:42.2",122,0.007333755,0.002223969,0.007898331,22.35013
"2025-03-27 20:06:42.25",123,0.01013756,0.003046036,0.007703781,22.37521
"2025-03-27 20:06:42.3",124,0.008272171,0.003139496,0.009157181,22.3268
"2025-03-27 20:06:42.35",125,0.005609512,0.003093719,0.01034737,22.32453
"2025-03-27 20:06:42.4",126,0.004453659,0.003061295,0.01203346,22.3694
"2025-03-27 20:06:42.45",127,0.008680344,0.0058918,0.01428795,22.35433
"2025-03-27 20:06:42.5",128,0.007104874,0.002609253,0.01048088,22.3796
"2025-03-27 20:06:42.55",129,0.007860184,0.005167007,0.01300049,22.35097
"2025-03-27 20:06:42.6",130,0.009935379,0.005289078,0.01134491,22.35122
"2025-03-27 20:06:42.65",131,0.008533478,0.005245209,0.01216316,22.37223
"2025-03-27 20:06:42.7",132,0.006011963,0.00475502,0.01257896,22.34722
"2025-03-27 20:06:42.75",133,0.008600235,0.00202179,0.01487541,22.32561
"2025-03-27 20:06:42.8",134,0.009187698,0.005117416,0.01418495,22.37937
"2025-03-27 20:06:42.85",135,0.006189346,0.004741669,0.01637268,22.34858
"2025-03-27 20:06:42.9",136,0.006250381,0.002473831,0.01200104,22.34913
"2025-03-27 20:06:42.95",137,0.01070595,0.004730225,0.0102272,22.34951
"2025-03-27 20:06:43",138,0.009315491,0.004306793,0.01341438,22.32713
"2025-03-27 20:06:43.05",139,0.01008606,0.004199982,0.01273155,22.34883
"2025-03-27 20:06:43.1",140,0.009031296,0.004703522,0.01385498,22.34915
"2025-03-27 20:06:43.15",141,0.00850296,0.004646301,0.01406097,22.37167
"2025-03-27 20:06:43.2",142,0.006731033,0.004508972,0.008079529,22.32752
