"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Slow"
"TIMESTAMP","RECORD","AirTC1","RH1","AirTC2","RH2","BP_mbar"
"TS","RN","Deg C","%","Deg C","%","hPa"
"","","Smp","Smp","Smp","Smp","Smp"
"2025-03-27 20:07:41",64,21.81702,42.56196,21.70611,42.5461,1011.336
"2025-03-27 20:07:42",65,21.86425,42.56457,21.66304,42.57711,1011.393
"2025-03-27 20:07:43",66,21.82629,42.56987,21.65312,42.58168,1011.343
"2025-03-27 20:07:44",67,21.81188,42.58463,21.65625,42.61568,1011.395
"2025-03-27 20:07:45",68,21.84498,42.54546,21.60696,42.57287,1011.349
"2025-03-27 20:07:46",69,21.83962,42.54387,21.5926,42.60255,1011.347
"2025-03-27 20:07:47",70,21.78419,42.60502,21.68602,42.57996,1011.34
"2025-03-27 20:07:48",71,21.80099,42.52336,21.7648,42.58986,1011.345
"2025-03-27 20:07:49",72,21.83091,42.55712,21.89836,42.60248,1011.338
"2025-03-27 20:07:50",73,21.81522,42.49151,21.67863,42.62687,1011.388
"2025-03-27 20:07:51",74,21.8565,42.4884,21.71758,42.62397,1011.339
"2025-03-27 20:07:52",75,21.85901,42.5164,21.66328,42.63581,1011.391
"2025-03-27 20:07:53",76,21.80264,42.56965,21.7154,42.62098,1011.353
"2025-03-27 20:07:54",77,21.82397,42.66582,21.67772,42.61449,1011.342
"2025-03-27 20:07:55",78,21.81198,42.80919,21.67858,42.57875,1011.335
"2025-03-27 20:07:56",79,21.76428,42.65466,21.63641,42.61228,1011.337
"2025-03-27 20:07:57",80,21.78255,42.64907,21.68637,42.60509,1011.332
"2025-03-27 20:07:58",81,21.79974,42.60395,21.69081,42.60579,1011.38
"2025-03-27 20:07:59",82,21.76332,42.58773,21.72216,42.59354,1011.329
"2025-03-27 20:08:00",83,21.79936,42.64097,21.72187,42.54354,1011.443
"2025-03-27 20:08:01",84,21.95134,42.6613,21.64029,42.53445,1011.33
"2025-03-27 20:08:02",85,22.14334,42.6168,21.63523,42.57708,1011.331
"2025-03-27 20:08:03",86,22.03689,42.6415,21.61997,42.49005,1011.323
