,PM_1,PM_2.5,PM_10
n,46.0,46.0,46.0
fac2,0.0,0.34782608695652173,0.6521739130434783
mbe,-7.0782508798091985,-6.722818273640559,-3.7992931097118343
mge,7.0782508798091985,6.722818273640559,5.045202533296047
nmb,-0.7219502006013818,-0.5154160676457763,-0.2787360176184121
nmge,0.7219502006013818,0.5154160676457763,0.3701424506086414
rmse,7.2565719866702505,6.884205162068701,5.639814751329744
r,0.8994052968848154,0.8586839402642501,0.59515453852341
p_value,2.0315530045198217e-17,2.329941609565334e-14,1.2862199158437114e-05
coe,-3.5607731003886327,-2.588668886736485,-1.509555373872694
ioa,-0.5614778556228601,-0.4426902946126109,-0.20304607707713518
