Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
25.21,0.04,25.4,25.0
25.21,0.04,25.41,24.96
25.23,0.04,25.39,24.89
25.24,0.04,25.41,24.93
25.24,0.04,25.47,24.96
25.25,0.05,25.49,24.96
25.24,0.05,25.51,24.98
25.22,0.04,25.5,24.95
25.22,0.05,25.4,24.92
25.19,0.05,25.39,24.93
25.26,0.05,25.46,24.99
25.29,0.05,25.46,25.01
25.33,0.05,25.57,25.05
25.35,0.05,25.58,25.11
25.36,0.05,25.7,25.13
25.35,0.04,25.58,25.15
25.35,0.04,25.55,25.1
25.35,0.04,25.53,25.12
25.36,0.04,25.61,25.18
25.37,0.04,25.55,25.14
25.37,0.04,25.64,25.17
25.38,0.05,25.65,25.13
25.34,0.06,25.86,25.05
25.33,0.06,25.83,25.1
25.3,0.06,25.74,25.01
25.26,0.05,25.64,24.96
25.23,0.05,25.55,24.97
25.22,0.05,25.53,24.98
25.22,0.05,25.52,24.93
25.17,0.05,25.43,24.85
25.16,0.05,25.43,24.85
25.17,0.05,25.5,24.82
25.18,0.05,25.44,24.94
25.18,0.05,25.43,24.95
25.18,0.05,25.43,24.92
25.19,0.04,25.4,24.94
25.2,0.05,25.45,24.87
25.23,0.05,25.46,24.95
25.25,0.05,25.47,24.96
25.21,0.05,25.43,24.92
25.23,0.05,25.43,24.98
25.23,0.05,25.43,25.0
25.23,0.05,25.45,24.85
25.19,0.05,25.38,24.86
25.14,0.05,25.43,24.89
25.13,0.04,25.37,24.89
25.1,0.04,25.31,24.85
25.11,0.04,25.25,24.87
25.09,0.04,25.27,24.85
25.07,0.04,25.26,24.82
25.03,0.03,25.23,24.71
25.02,0.03,25.17,24.77
25.01,0.04,25.21,24.72
24.99,0.04,25.18,24.68
25.0,0.04,25.16,24.73
24.97,0.04,25.16,24.71
24.97,0.04,25.16,24.68
24.96,0.04,25.24,24.73
24.97,0.04,25.18,24.62
24.97,0.04,25.2,24.67
24.99,0.04,25.26,24.72
24.99,0.04,25.26,24.72
25.19,0.04,25.38,24.99
25.26,0.04,25.42,25.05
25.28,0.04,25.41,25.07
25.29,0.04,25.42,25.08
25.29,0.04,25.42,25.08
25.3,0.04,25.44,25.04
25.28,0.04,25.41,25.08
25.31,0.03,25.44,25.11
25.3,0.03,25.44,25.1
25.3,0.03,25.44,25.1
25.26,0.03,25.41,25.03
25.25,0.03,25.39,25.05
25.23,0.04,25.46,24.99
25.19,0.04,25.34,24.95
25.21,0.03,25.34,25.01
25.22,0.03,25.39,24.96
25.21,0.04,25.33,25.04
25.23,0.03,25.38,25.04
25.24,0.03,25.43,25.0
25.27,0.04,25.42,25.07
25.28,0.03,25.42,25.1
25.26,0.03,25.41,25.05
25.27,0.03,25.41,25.09
25.3,0.03,25.47,25.12
25.29,0.03,25.5,25.1
25.29,0.03,25.42,25.07
25.29,0.04,25.43,25.07
25.3,0.04,25.43,25.07
25.3,0.04,25.42,25.02
25.29,0.04,25.44,25.13
25.32,0.04,25.49,25.05
25.31,0.04,25.45,25.11
25.31,0.05,25.54,25.05
25.28,0.05,25.43,25.08
25.28,0.05,25.43,25.06
25.24,0.05,25.37,24.94
25.24,0.05,25.41,24.98
25.24,0.05,25.43,25.01
25.3,0.05,25.56,25.05
25.33,0.05,25.47,25.06
25.33,0.05,25.51,25.13
25.29,0.06,25.47,25.05
25.27,0.05,25.46,24.95
25.25,0.06,25.43,25.04
25.24,0.06,25.4,25.02
25.22,0.06,25.43,25.01
25.22,0.06,25.4,25.02
25.23,0.06,25.4,24.92
25.31,0.05,25.49,25.09
25.3,0.05,25.55,25.09
25.3,0.05,25.48,25.01
25.36,0.05,25.54,25.15
25.32,0.05,25.48,25.01
25.31,0.05,25.51,25.1
25.3,0.05,25.46,25.06
25.31,0.05,25.51,25.07
25.31,0.05,25.49,25.07
25.34,0.05,25.52,25.12
25.38,0.05,25.54,25.16
25.37,0.05,25.55,25.09
25.36,0.05,25.52,25.11
25.32,0.05,25.49,25.1
25.27,0.04,25.4,25.06
25.25,0.04,25.38,25.02
25.27,0.04,25.43,25.04
25.24,0.04,25.37,24.98
25.24,0.04,25.38,24.98
25.27,0.04,25.49,25.06
25.27,0.04,25.43,25.04
25.28,0.04,25.43,25.07
25.3,0.04,25.46,25.05
25.29,0.04,25.44,25.07
25.27,0.04,25.46,25.04
25.25,0.04,25.43,25.02
25.26,0.04,25.46,25.03
25.25,0.04,25.39,25.02
25.2,0.04,25.36,24.97
25.19,0.05,25.34,24.96
25.17,0.05,25.32,24.92
25.17,0.05,25.38,24.94
25.15,0.05,25.37,24.93
25.18,0.05,25.39,24.95
25.17,0.05,25.35,24.95
25.18,0.05,25.37,24.92
25.18,0.05,25.36,24.91
25.18,0.05,25.42,24.93
25.2,0.05,25.4,24.94
25.2,0.05,25.42,24.89
25.19,0.05,25.37,24.9
25.19,0.05,25.4,24.98
25.2,0.05,25.41,24.99
25.21,0.05,25.46,24.97
25.22,0.05,25.43,25.02
25.26,0.05,25.44,25.01
25.25,0.05,25.42,24.96
25.31,0.05,25.49,25.07
25.28,0.05,25.49,24.98
25.28,0.05,25.46,25.07
25.23,0.05,25.37,24.99
25.19,0.05,25.4,24.92
25.2,0.05,25.33,24.93
25.21,0.05,25.37,24.96
25.21,0.06,25.41,24.97
25.22,0.06,25.37,24.96
25.23,0.05,25.44,24.94
25.2,0.05,25.39,24.92
25.23,0.05,25.36,24.98
25.27,0.04,25.46,25.0
25.28,0.04,25.42,25.0
25.29,0.05,25.43,24.96
25.34,0.04,25.51,25.1
25.35,0.05,25.58,25.06
25.39,0.05,25.57,25.12
25.38,0.05,25.58,25.1
25.39,0.06,25.61,25.08
25.41,0.06,25.57,25.13
25.42,0.06,25.6,25.1
25.44,0.06,25.63,25.19
25.44,0.05,25.59,25.19
25.44,0.05,25.61,25.19
25.44,0.05,25.58,25.17
25.39,0.05,25.55,25.15
25.38,0.04,25.5,25.16
25.42,0.04,25.64,25.21
25.43,0.04,25.64,25.0
25.38,0.05,25.54,25.09
25.39,0.05,25.58,25.13
25.38,0.05,25.5,25.1
25.39,0.05,25.55,25.14
25.39,0.05,25.58,25.08
25.4,0.05,25.61,25.14
25.42,0.05,25.59,25.15
25.42,0.05,25.62,25.15
25.43,0.05,25.64,25.13
25.38,0.05,25.52,25.09
25.36,0.05,25.52,25.04
25.34,0.05,25.55,25.04
25.33,0.05,25.47,25.02
25.27,0.04,25.43,24.95
25.21,0.04,25.49,24.97
25.21,0.04,25.52,24.95
25.19,0.04,25.34,24.88
25.18,0.04,25.39,24.96
25.19,0.03,25.36,24.95
25.2,0.04,25.38,24.99
25.19,0.04,25.34,24.98
25.2,0.04,25.38,24.96
25.21,0.04,25.39,25.02
25.21,0.04,25.45,24.99
25.17,0.04,25.42,24.95
25.18,0.04,25.35,24.92
25.18,0.04,25.37,24.96
25.22,0.04,25.41,25.04
25.23,0.04,25.41,25.02
25.24,0.04,25.43,24.98
25.31,0.04,25.47,24.94
25.31,0.04,25.55,25.07
25.26,0.04,25.48,24.87
25.26,0.04,25.45,25.05
25.21,0.04,25.43,25.01
25.2,0.04,25.4,24.99
25.2,0.04,25.42,24.99
25.15,0.04,25.37,24.93
25.12,0.04,25.35,24.92
25.08,0.04,25.3,24.82
25.08,0.04,25.28,24.84
25.05,0.03,25.25,24.76
25.05,0.03,25.2,24.83
25.04,0.03,25.22,24.76
25.13,0.03,25.34,24.84
25.13,0.03,25.28,24.89
25.13,0.03,25.31,24.89
25.17,0.04,25.4,24.95
25.19,0.03,25.37,24.97
25.2,0.04,25.43,25.01
25.23,0.03,25.49,25.04
25.24,0.04,25.39,25.01
25.24,0.04,25.44,25.01
25.23,0.04,25.43,24.94
25.25,0.04,25.46,25.02
25.29,0.04,25.44,24.94
25.3,0.04,25.45,25.04
25.33,0.05,25.55,25.08
25.37,0.05,25.58,25.07
25.37,0.05,25.61,25.1
25.33,0.05,25.54,25.09
25.32,0.05,25.55,25.08
25.31,0.05,25.49,25.11
25.3,0.05,25.52,25.05
25.3,0.05,25.51,25.06
25.27,0.05,25.46,24.97
25.28,0.05,25.5,24.99
25.32,0.05,25.52,25.04
25.32,0.05,25.53,25.07
25.35,0.05,25.58,25.07
25.32,0.05,25.57,25.07
25.33,0.05,25.52,25.1
25.31,0.04,25.48,25.11
25.28,0.04,25.49,25.01
25.29,0.04,25.53,25.03
25.28,0.05,25.51,25.08
25.33,0.05,25.57,25.02
25.33,0.05,25.54,25.1
25.31,0.05,25.58,25.1
25.31,0.05,25.5,25.1
25.3,0.05,25.57,25.05
25.28,0.05,25.54,25.07
25.27,0.05,25.48,25.06
25.28,0.05,25.46,25.07
25.28,0.05,25.49,25.07
25.28,0.05,25.51,25.05
25.27,0.05,25.52,25.09
25.28,0.05,25.49,25.08
25.28,0.05,25.5,25.07
25.25,0.05,25.5,25.04
25.26,0.05,25.44,25.09
25.27,0.05,25.48,25.07
25.31,0.05,25.57,25.1
25.3,0.04,25.52,25.06
25.3,0.05,25.62,25.1
25.32,0.05,25.57,25.1
25.3,0.05,25.54,25.08
25.27,0.05,25.47,25.08
25.28,0.05,25.5,25.03
25.32,0.05,25.54,25.12
25.31,0.05,25.51,24.97
25.3,0.05,25.52,25.06
25.33,0.05,25.61,25.07
25.34,0.04,25.56,25.01
25.36,0.04,25.61,25.14
25.39,0.04,25.63,25.17
25.38,0.04,25.55,25.14
25.37,0.04,25.67,25.07
25.39,0.03,25.57,25.18
25.34,0.03,25.48,25.12
25.32,0.04,25.58,25.12
25.31,0.03,25.49,25.07
25.3,0.03,25.49,25.09
25.32,0.03,25.49,25.09
25.32,0.04,25.52,25.02
25.33,0.04,25.52,25.11
25.33,0.06,25.64,25.1
25.44,0.06,25.73,25.2
25.53,0.07,26.02,25.31
25.58,0.12,26.05,25.31
25.64,0.16,26.23,25.36
25.72,0.18,26.34,25.35
25.76,0.17,26.38,25.46
25.78,0.16,26.31,25.49
25.76,0.13,26.21,25.5
25.7,0.1,26.07,25.47
25.64,0.08,25.99,25.41
25.6,0.07,25.88,25.42
25.56,0.06,25.87,25.33
25.54,0.05,25.82,25.37
25.51,0.05,25.76,25.31
25.49,0.04,25.73,25.33
25.44,0.04,25.67,25.22
25.42,0.03,25.67,25.22
25.37,0.03,25.6,25.19
25.41,0.03,25.65,25.22
25.4,0.03,25.61,25.18
25.45,0.03,25.68,25.25
25.49,0.04,25.73,25.31
25.52,0.05,25.77,25.35
25.5,0.06,25.79,25.29
25.52,0.06,25.85,25.36
25.52,0.06,25.81,25.27
25.57,0.1,25.91,25.33
25.66,0.11,26.01,25.41
25.68,0.1,26.02,25.43
25.72,0.09,25.97,25.46
25.72,0.12,26.33,25.45
25.81,0.14,26.46,25.47
