Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
28.33,1.88,32.53,25.76
28.31,1.83,32.46,25.85
28.17,1.67,32.07,25.75
28.19,1.75,32.4,25.81
28.27,1.85,32.36,25.73
28.19,1.85,32.1,25.62
28.03,1.68,31.66,25.57
27.94,1.61,31.25,25.59
27.86,1.48,30.95,25.56
27.78,1.41,30.61,25.53
27.65,1.2,30.12,25.53
27.66,1.07,29.74,25.55
27.55,0.92,29.41,25.66
27.32,0.83,29.04,25.69
27.15,0.77,28.73,25.69
27.05,0.7,28.56,25.66
26.97,0.65,28.28,25.63
26.95,0.57,28.06,25.74
26.87,0.53,27.85,25.76
26.74,0.47,27.64,25.84
26.68,0.42,27.49,25.89
26.65,0.35,27.36,25.91
26.68,0.33,27.36,25.94
26.64,0.33,27.22,25.89
26.61,0.32,27.13,25.77
26.56,0.29,27.06,25.82
26.5,0.3,27.03,25.8
26.41,0.29,26.92,25.73
26.36,0.29,26.94,25.66
26.33,0.3,26.98,25.59
26.29,0.31,26.86,25.53
26.37,0.39,27.09,25.43
26.46,0.39,27.07,25.36
26.53,0.41,27.57,25.38
26.48,0.42,27.54,25.43
26.39,0.38,27.3,25.33
26.39,0.33,27.34,25.24
26.33,0.31,27.26,25.24
26.3,0.37,27.35,25.24
26.28,0.43,27.32,25.16
26.25,0.42,27.23,25.03
26.33,0.42,27.15,25.06
26.31,0.43,27.16,25.16
26.44,0.41,27.18,25.16
26.49,0.4,27.16,25.27
26.51,0.37,27.47,25.39
26.49,0.37,27.47,25.48
26.54,0.4,27.44,25.48
26.61,0.41,27.41,25.5
26.72,0.38,27.36,25.48
26.9,0.43,27.63,25.59
27.03,0.52,28.02,25.68
27.14,0.57,28.43,25.79
27.17,0.58,28.39,25.8
27.09,0.56,28.06,25.71
26.99,0.5,27.81,25.66
27.06,0.51,27.81,25.76
27.16,0.56,27.98,25.78
27.24,0.65,28.9,25.88
27.34,0.81,29.62,25.92
27.51,1.02,30.17,25.9
27.57,1.15,30.56,25.88
27.48,1.15,30.49,25.79
27.44,1.21,30.66,25.68
27.38,1.33,31.35,25.53
27.37,1.37,31.46,25.42
27.42,1.51,32.4,25.34
27.48,1.59,32.76,25.4
27.47,1.57,32.53,25.3
27.54,1.57,32.81,25.24
27.56,1.62,33.07,25.24
27.55,1.56,32.49,25.15
27.54,1.44,31.68,25.17
27.49,1.29,31.08,25.2
27.45,1.2,30.48,25.26
27.51,1.11,30.04,25.25
27.62,1.27,30.65,25.24
27.62,1.34,30.63,25.36
27.59,1.36,30.57,25.37
27.59,1.33,30.39,25.44
27.59,1.34,30.36,25.39
27.64,1.26,30.18,25.4
27.73,1.07,29.98,25.56
27.81,1.11,30.03,25.72
27.92,1.16,30.61,25.7
28.04,1.25,30.97,25.74
28.1,1.22,30.9,25.93
27.96,1.16,30.34,25.85
27.82,1.13,30.15,25.71
27.77,1.07,29.98,25.7
27.66,0.94,29.64,25.79
27.47,0.79,29.03,25.78
27.3,0.67,28.74,25.84
27.15,0.54,28.33,25.96
27.0,0.51,27.98,25.79
26.85,0.42,27.7,25.72
26.81,0.42,27.59,25.72
26.66,0.38,27.35,25.62
26.6,0.33,27.21,25.6
26.59,0.3,27.18,25.71
26.71,0.38,27.73,25.79
26.74,0.41,27.81,25.82
26.84,0.51,28.22,25.77
26.86,0.54,28.2,25.56
26.84,0.54,28.09,25.65
26.79,0.47,27.87,25.62
26.72,0.45,27.71,25.68
26.71,0.48,27.85,25.66
26.65,0.46,27.73,25.69
26.47,0.4,27.46,25.53
26.35,0.35,27.25,25.51
26.3,0.37,27.24,25.39
26.34,0.41,27.33,25.4
26.4,0.46,27.42,25.45
26.47,0.4,27.3,25.43
26.5,0.38,27.23,25.54
26.57,0.48,27.79,25.44
26.73,0.44,27.68,25.54
26.87,0.41,27.63,25.57
26.81,0.36,27.54,25.74
26.9,0.44,27.89,25.81
26.94,0.43,27.83,25.79
26.78,0.37,27.58,25.71
26.72,0.3,27.42,25.8
26.77,0.36,27.68,25.88
26.77,0.32,27.59,25.95
26.83,0.32,27.61,26.02
26.7,0.3,27.45,25.99
26.61,0.29,27.34,25.94
26.62,0.3,27.31,25.89
26.64,0.31,27.55,25.83
26.64,0.32,27.44,25.81
26.64,0.27,27.29,25.61
26.74,0.35,27.51,25.79
26.67,0.29,27.34,25.82
26.57,0.24,27.06,25.83
26.53,0.25,27.17,25.73
26.47,0.27,27.23,25.66
26.38,0.25,27.05,25.54
26.47,0.21,26.95,25.74
26.53,0.23,27.02,25.76
26.55,0.26,27.06,25.62
26.64,0.32,27.28,25.6
26.76,0.38,27.52,25.68
26.75,0.36,27.52,25.69
26.69,0.4,27.55,25.64
26.66,0.41,27.47,25.61
26.65,0.4,27.44,25.68
26.68,0.36,27.36,25.74
26.61,0.4,27.48,25.68
26.66,0.45,27.7,25.75
26.73,0.51,27.82,25.7
26.7,0.49,27.68,25.71
26.74,0.48,27.79,25.74
26.75,0.41,27.63,25.87
26.74,0.4,27.52,25.87
26.74,0.37,27.3,25.87
26.75,0.35,27.32,25.79
26.62,0.32,27.25,25.75
26.62,0.34,27.25,25.71
26.5,0.31,27.03,25.59
26.4,0.33,26.99,25.48
26.44,0.37,27.09,25.45
26.4,0.32,27.0,25.49
26.32,0.31,26.86,25.41
26.4,0.35,26.95,25.29
26.4,0.35,27.03,25.26
26.3,0.38,27.09,25.36
26.46,0.56,27.74,25.37
26.5,0.61,27.68,25.33
26.66,0.65,27.95,25.39
26.69,0.62,27.93,25.49
26.67,0.64,27.93,25.47
26.68,0.59,27.77,25.43
26.67,0.57,27.74,25.51
26.54,0.5,27.51,25.39
26.37,0.48,27.41,25.34
26.26,0.51,27.37,25.29
26.2,0.52,27.27,25.16
26.09,0.46,27.14,25.1
26.04,0.43,26.98,25.08
26.04,0.38,26.93,25.15
26.01,0.35,26.86,25.18
26.07,0.33,26.9,25.33
26.13,0.31,26.93,25.39
26.19,0.29,26.92,25.46
26.21,0.27,26.77,25.41
26.26,0.27,26.79,25.48
26.35,0.33,27.13,25.47
26.31,0.31,27.04,25.44
26.31,0.29,26.9,25.43
26.26,0.29,26.87,25.46
26.28,0.29,26.86,25.47
26.3,0.3,26.86,25.47
26.32,0.3,26.88,25.48
26.44,0.33,27.09,25.53
26.44,0.32,27.01,25.59
26.34,0.27,26.85,25.58
26.31,0.29,27.0,25.48
26.3,0.25,26.86,25.5
26.2,0.21,26.7,25.45
26.17,0.21,26.64,25.42
26.18,0.21,26.65,25.4
26.16,0.24,26.66,25.43
26.3,0.34,27.0,25.38
26.27,0.37,27.09,25.39
26.25,0.36,27.0,25.36
26.18,0.36,26.88,25.21
26.15,0.41,27.06,25.27
26.28,0.48,27.33,25.3
26.27,0.41,27.18,25.4
26.31,0.44,27.28,25.39
26.29,0.43,27.28,25.37
26.34,0.46,27.24,25.36
26.39,0.48,27.44,25.33
26.44,0.46,27.43,25.31
26.52,0.39,27.3,25.41
26.58,0.47,27.55,25.39
26.54,0.47,27.62,25.36
26.56,0.47,27.57,25.35
26.55,0.45,27.37,25.42
26.55,0.46,27.45,25.43
26.48,0.45,27.39,25.38
26.54,0.5,27.49,25.42
26.56,0.53,27.71,25.44
26.61,0.62,27.98,25.45
26.61,0.58,27.95,25.48
26.62,0.6,27.92,25.49
26.7,0.65,28.14,25.51
26.73,0.69,28.28,25.48
26.75,0.65,28.11,25.57
26.63,0.61,27.92,25.48
26.64,0.66,28.06,25.45
26.57,0.62,27.75,25.36
26.56,0.62,27.73,25.34
26.52,0.54,27.47,25.36
26.56,0.53,27.52,25.31
26.61,0.53,27.67,25.42
26.73,0.58,27.85,25.37
26.86,0.58,27.97,25.5
26.83,0.54,27.87,25.61
26.87,0.56,28.06,25.6
26.95,0.61,28.37,25.55
26.95,0.59,28.28,25.63
26.88,0.53,27.98,25.7
26.87,0.58,28.14,25.63
26.82,0.55,27.93,25.6
26.8,0.56,27.9,25.56
26.84,0.55,28.02,25.59
26.73,0.47,27.69,25.59
26.58,0.43,27.44,25.56
26.57,0.45,27.34,25.51
26.5,0.37,27.09,25.55
26.37,0.33,26.92,25.45
26.19,0.27,26.62,25.39
26.12,0.26,26.52,25.3
26.19,0.34,26.93,25.27
26.13,0.33,26.81,25.25
26.05,0.29,26.7,25.24
25.97,0.3,26.78,25.21
25.92,0.29,26.67,25.09
25.91,0.29,26.66,25.14
25.9,0.31,26.75,25.12
25.96,0.32,26.7,25.12
25.93,0.3,26.67,25.12
25.97,0.33,26.75,25.16
26.1,0.35,26.78,25.2
26.24,0.37,27.16,25.28
26.21,0.36,27.05,25.31
26.23,0.37,27.03,25.35
26.23,0.35,26.91,25.3
26.25,0.29,26.85,25.35
26.25,0.26,26.79,25.39
26.18,0.22,26.68,25.29
26.16,0.23,26.66,25.29
26.14,0.26,26.78,25.18
26.18,0.31,27.0,25.21
26.14,0.31,26.93,25.29
26.21,0.32,26.9,25.34
26.28,0.4,27.28,25.23
26.2,0.39,27.32,25.18
26.23,0.44,27.33,25.15
26.19,0.4,27.1,25.16
26.08,0.34,26.84,25.19
26.0,0.36,26.81,25.16
26.03,0.4,26.89,25.03
25.99,0.35,26.7,25.11
25.93,0.37,26.77,25.04
25.91,0.37,26.73,25.02
25.97,0.38,26.76,25.07
26.08,0.47,27.14,25.14
26.11,0.49,27.31,25.18
26.1,0.51,27.4,25.22
26.03,0.56,27.44,25.21
26.08,0.67,28.14,25.15
26.18,0.75,28.32,25.09
26.28,0.75,28.19,25.12
26.23,0.74,27.95,25.03
26.29,0.79,27.92,25.03
26.4,0.86,28.07,25.0
26.49,0.81,27.95,25.01
26.39,0.7,27.63,24.98
26.53,0.71,27.66,25.04
26.57,0.61,27.48,25.18
26.5,0.51,27.24,25.4
26.41,0.45,27.03,25.39
26.37,0.38,26.95,25.33
26.23,0.34,26.75,25.31
26.09,0.31,26.56,25.22
25.97,0.3,26.44,25.15
25.9,0.28,26.4,25.11
25.84,0.25,26.29,25.15
25.74,0.19,26.08,25.18
25.37,0.17,25.81,24.78
25.21,0.2,25.85,24.68
25.11,0.22,25.74,24.64
25.1,0.3,25.85,24.59
25.11,0.34,25.94,24.54
25.05,0.33,25.76,24.41
24.87,0.3,25.59,24.32
24.74,0.28,25.45,24.23
24.62,0.25,25.24,24.14
24.57,0.22,25.14,24.08
24.48,0.18,24.96,24.04
24.43,0.16,24.81,24.03
24.39,0.14,24.76,24.01
24.36,0.13,24.81,23.99
24.32,0.15,24.84,23.94
24.29,0.13,24.72,23.89
24.23,0.12,24.62,23.86
24.22,0.1,24.53,23.82
24.21,0.1,24.5,23.87
24.24,0.09,24.5,23.89
24.25,0.08,24.48,23.89
24.26,0.08,24.5,23.92
24.4,0.19,24.86,23.9
24.49,0.15,24.88,23.93
24.53,0.11,24.79,24.11
24.56,0.1,24.79,24.13
24.58,0.1,24.86,24.19
24.64,0.13,24.92,24.12
24.73,0.16,25.12,24.29
24.7,0.14,25.04,24.2
24.66,0.14,24.99,24.32
24.71,0.17,25.07,24.26
24.77,0.17,25.16,24.34
24.8,0.15,25.17,24.49
24.78,0.14,25.14,24.47
24.8,0.14,25.14,24.47
24.86,0.12,25.13,24.52
24.9,0.1,25.15,24.62
24.85,0.11,25.11,24.37
24.86,0.09,25.09,24.47
24.95,0.08,25.18,24.64
24.94,0.07,25.15,24.65
24.95,0.11,25.29,24.64
24.92,0.12,25.24,24.59
24.96,0.14,25.28,24.53
24.86,0.11,25.17,24.49
24.82,0.11,25.14,24.41
24.93,0.14,25.23,24.38
24.97,0.15,25.33,24.41
25.07,0.14,25.42,24.53
25.28,0.15,25.74,24.92
25.41,0.17,25.81,24.95
25.49,0.2,25.94,25.03
25.49,0.18,25.89,25.02
25.58,0.26,26.22,25.07
25.59,0.25,26.17,25.1
25.6,0.26,26.32,25.06
25.63,0.24,26.21,25.1
25.7,0.25,26.33,25.11
25.88,0.34,26.64,25.23
26.0,0.31,26.68,25.32
25.93,0.28,26.48,25.27
25.95,0.32,26.62,25.22
25.92,0.3,26.51,25.3
25.87,0.27,26.44,25.27
25.86,0.23,26.39,25.33
25.89,0.19,26.35,25.42
25.94,0.17,26.36,25.48
25.9,0.15,26.33,25.44
25.88,0.12,26.22,25.45
25.87,0.13,26.47,25.52
25.91,0.12,26.5,25.59
25.9,0.17,26.64,25.57
25.92,0.18,26.59,25.55
25.92,0.18,26.51,25.57
26.05,0.26,26.68,25.53
26.14,0.25,26.73,25.54
26.09,0.24,26.65,25.48
26.12,0.22,26.73,25.51
26.15,0.22,26.69,25.59
26.13,0.22,26.62,25.58
26.15,0.25,26.86,25.62
26.13,0.26,26.92,25.6
26.11,0.23,26.75,25.59
26.1,0.21,26.61,25.56
26.08,0.21,26.53,25.51
26.02,0.21,26.5,25.55
25.98,0.32,26.85,25.48
25.95,0.34,26.8,25.39
25.96,0.32,26.67,25.33
26.02,0.38,26.85,25.29
26.1,0.4,26.93,25.24
26.12,0.43,26.95,25.24
26.05,0.43,26.86,25.18
26.06,0.47,26.92,25.12
26.05,0.46,26.9,25.1
26.02,0.46,26.89,25.04
26.04,0.43,26.83,25.1
26.08,0.39,26.84,25.22
26.09,0.34,26.75,25.26
26.05,0.32,26.7,25.33
25.97,0.27,26.5,25.36
26.0,0.25,26.47,25.36
26.02,0.25,26.57,25.31
25.96,0.22,26.5,25.36
25.98,0.21,26.4,25.41
25.92,0.19,26.28,25.34
25.81,0.18,26.13,25.34
25.76,0.2,26.16,25.27
25.66,0.19,26.07,25.18
25.64,0.26,26.36,25.07
25.68,0.37,26.86,24.98
25.61,0.34,26.59,24.91
25.59,0.29,26.36,24.78
25.61,0.31,26.56,24.9
25.67,0.3,26.49,24.98
25.57,0.26,26.22,24.98
25.58,0.21,26.08,25.0
25.54,0.18,25.99,24.95
25.6,0.18,25.98,25.01
25.68,0.17,26.1,25.04
25.71,0.18,26.23,25.0
25.76,0.18,26.21,25.04
25.92,0.26,26.59,25.08
25.91,0.21,26.4,25.18
25.81,0.17,26.19,25.21
25.77,0.17,26.18,25.17
25.7,0.17,26.07,25.1
25.62,0.17,25.96,25.04
25.55,0.16,25.89,25.01
25.53,0.13,25.84,25.0
25.54,0.14,25.88,25.03
25.47,0.14,25.84,25.0
25.45,0.14,25.78,25.01
25.56,0.2,25.98,25.05
25.51,0.17,25.94,25.05
25.47,0.16,25.9,25.05
25.52,0.15,25.85,25.09
25.48,0.14,25.81,25.04
25.46,0.16,25.91,24.98
25.45,0.15,25.79,24.95
25.48,0.15,25.82,25.04
25.5,0.13,25.79,25.07
25.56,0.15,25.92,25.09
25.64,0.17,25.99,25.16
25.62,0.17,26.03,25.14
25.63,0.2,26.16,25.12
25.75,0.27,26.41,25.15
25.75,0.25,26.35,25.14
25.75,0.21,26.31,25.15
25.69,0.17,26.11,25.13
25.69,0.18,26.12,25.09
25.63,0.15,25.98,25.14
25.85,0.32,26.64,25.05
25.83,0.3,26.53,25.04
25.76,0.28,26.44,25.1
25.68,0.27,26.26,25.07
25.67,0.26,26.15,25.03
25.72,0.3,26.33,25.03
25.74,0.29,26.28,25.04
25.73,0.24,26.22,25.09
25.75,0.22,26.17,25.13
25.77,0.2,26.16,25.12
25.72,0.19,26.12,25.1
25.73,0.2,26.23,25.12
25.7,0.22,26.22,25.15
25.72,0.25,26.22,25.13
25.68,0.23,26.11,25.12
25.63,0.21,26.03,25.09
25.59,0.2,25.96,25.08
25.56,0.18,25.89,25.07
25.53,0.15,25.83,25.11
25.48,0.13,25.74,25.1
25.45,0.11,25.75,25.1
25.42,0.11,25.68,25.08
25.38,0.08,25.57,25.1
