Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
24.78,0.09,24.99,23.91
24.78,0.09,24.96,23.93
24.76,0.09,24.99,23.97
24.76,0.09,24.98,23.9
24.76,0.09,24.99,23.92
24.73,0.09,24.93,23.93
24.73,0.09,25.01,23.92
24.74,0.09,24.93,23.92
24.71,0.09,24.9,23.91
24.71,0.09,24.92,23.9
24.73,0.09,24.95,23.91
24.73,0.09,24.92,23.88
24.71,0.09,24.9,23.86
24.72,0.09,24.93,23.89
24.74,0.09,24.92,23.95
24.72,0.09,24.99,23.93
24.71,0.09,24.92,23.92
24.71,0.09,24.9,23.84
24.71,0.09,24.92,23.89
24.69,0.09,24.89,23.83
24.69,0.09,24.94,23.89
24.68,0.09,24.89,23.87
24.71,0.09,24.9,23.86
24.72,0.09,24.91,23.9
24.71,0.09,24.9,23.79
24.71,0.09,24.95,23.9
24.7,0.09,24.9,23.91
24.65,0.09,24.98,23.82
24.65,0.09,24.84,23.83
24.67,0.09,24.92,23.88
24.67,0.09,24.94,23.85
24.66,0.09,24.86,23.85
24.66,0.09,24.88,23.85
24.68,0.09,24.85,23.89
24.68,0.09,24.89,23.86
24.68,0.09,24.86,23.89
24.68,0.09,24.85,23.84
24.68,0.09,24.86,23.9
24.67,0.09,24.95,23.88
24.66,0.09,24.89,23.82
24.63,0.08,24.88,23.83
24.62,0.08,24.82,23.84
24.64,0.09,24.87,23.83
24.61,0.09,24.8,23.81
24.6,0.09,24.84,23.82
24.59,0.09,24.77,23.75
24.61,0.09,24.8,23.85
24.68,0.09,24.86,23.85
24.78,0.11,25.07,23.78
24.78,0.12,25.1,23.86
24.82,0.12,25.16,23.86
24.85,0.16,25.48,23.73
25.0,0.3,26.35,23.86
25.09,0.32,26.34,23.9
25.16,0.32,26.36,23.92
25.25,0.31,26.39,23.87
25.41,0.3,26.34,23.96
25.4,0.27,26.18,23.93
25.4,0.25,26.11,23.94
25.35,0.24,25.99,23.88
25.34,0.23,25.95,23.88
25.29,0.22,25.85,23.86
25.28,0.21,25.83,23.88
25.27,0.21,25.78,23.86
25.33,0.2,25.75,23.92
25.36,0.2,25.71,23.95
25.35,0.2,25.89,23.95
25.35,0.2,25.82,23.94
25.36,0.21,25.83,23.98
25.31,0.24,26.07,23.98
25.38,0.28,26.07,23.99
25.33,0.27,25.93,23.98
25.3,0.25,25.82,23.96
25.29,0.27,25.93,23.83
25.37,0.33,26.04,23.93
