Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
25.38,0.33,26.09,23.98
25.38,0.32,26.0,23.98
25.35,0.3,25.95,23.99
25.4,0.36,26.12,24.02
25.44,0.43,26.41,23.9
25.44,0.5,26.82,23.96
25.46,0.54,26.94,23.95
25.48,0.61,27.08,23.92
25.47,0.6,26.96,23.94
25.51,0.6,26.92,23.86
25.58,0.68,27.1,23.86
25.53,0.64,26.84,23.87
25.45,0.61,26.85,23.9
25.48,0.68,27.19,23.86
25.59,0.71,27.27,23.94
25.6,0.72,27.36,23.98
25.57,0.69,27.25,23.95
25.55,0.67,27.13,23.92
25.53,0.63,26.96,23.92
25.5,0.61,26.89,23.94
25.49,0.59,26.75,23.94
25.55,0.66,26.93,23.85
25.6,0.65,26.83,23.94
25.56,0.62,26.75,23.96
25.49,0.58,26.57,23.89
25.46,0.55,26.74,23.89
25.48,0.6,26.97,23.92
25.56,0.65,27.02,23.92
25.64,0.64,27.17,23.95
25.73,0.72,27.32,23.99
25.82,0.87,28.16,23.98
25.84,0.92,28.36,23.98
25.85,0.91,28.3,24.08
25.82,0.89,28.08,24.02
25.9,0.96,28.33,23.97
25.82,0.92,28.2,24.01
25.8,0.89,28.04,23.95
25.78,0.9,28.2,23.96
25.72,0.86,28.11,23.98
25.7,0.89,28.2,23.95
25.74,0.92,28.1,23.95
25.72,0.89,27.98,23.95
25.66,0.85,27.84,23.99
25.61,0.81,27.55,23.98
25.54,0.76,27.34,23.99
25.57,0.76,27.6,24.0
25.62,0.82,27.7,24.02
25.58,0.79,27.57,23.99
25.58,0.78,27.36,23.98
25.52,0.72,27.12,23.99
25.45,0.7,27.02,23.94
25.48,0.74,27.11,23.96
25.44,0.72,26.99,23.98
25.38,0.68,26.89,23.83
25.39,0.64,26.8,23.95
25.36,0.6,26.65,24.01
25.33,0.58,26.66,24.05
25.35,0.57,26.55,24.05
25.34,0.53,26.46,24.08
25.35,0.5,26.34,24.07
25.35,0.49,26.38,23.98
25.36,0.49,26.34,24.08
25.38,0.5,26.55,24.08
25.37,0.46,26.38,24.09
25.44,0.57,26.95,24.08
25.5,0.63,26.97,24.07
25.41,0.62,26.88,24.04
25.42,0.63,26.79,24.01
25.39,0.61,26.74,24.06
25.37,0.58,26.7,24.02
25.36,0.6,26.71,24.01
25.4,0.68,27.34,24.01
25.47,0.7,27.24,24.02
25.47,0.72,27.31,24.03
25.56,0.83,27.63,24.03
25.57,0.84,27.68,24.03
25.55,0.84,27.57,24.05
25.6,0.91,27.87,24.06
25.63,0.96,28.12,24.06
25.6,0.92,27.95,24.05
25.61,0.91,27.87,23.91
25.6,0.91,28.2,24.05
25.62,0.95,28.07,24.05
25.62,0.93,28.25,24.02
25.65,1.0,28.41,24.07
25.66,1.08,29.03,24.03
25.59,1.01,28.58,23.93
25.56,1.0,28.42,23.94
25.59,1.05,28.61,23.95
25.62,1.1,28.42,23.86
25.66,1.07,28.47,23.89
25.64,1.06,28.44,24.01
25.63,1.02,28.28,24.04
25.6,0.98,27.95,24.01
25.61,0.94,27.96,24.01
25.6,0.88,27.76,24.05
25.57,0.84,27.56,23.97
25.59,0.89,27.67,23.97
25.66,0.98,28.04,23.92
25.72,1.03,28.24,23.92
25.75,1.05,28.23,23.92
25.81,1.1,28.48,23.91
25.76,1.06,28.47,23.95
25.74,1.02,28.29,24.04
25.73,1.02,28.19,24.01
25.75,1.01,28.5,24.11
25.74,0.97,28.29,24.02
25.7,0.89,28.05,24.11
25.67,0.9,28.05,24.08
25.64,0.91,28.02,24.02
25.55,0.88,27.92,24.01
25.53,0.87,27.97,23.99
25.52,0.81,27.62,23.95
25.51,0.77,27.58,23.95
25.6,0.74,27.43,23.95
25.71,0.75,27.37,23.94
25.7,0.74,27.19,23.93
25.61,0.66,26.89,23.95
25.54,0.6,26.7,23.98
25.52,0.6,26.72,23.96
25.42,0.53,26.46,23.93
25.35,0.46,26.34,23.94
25.34,0.42,26.38,23.95
25.31,0.39,26.4,23.94
25.28,0.39,26.43,23.95
25.32,0.42,26.6,23.96
25.33,0.43,26.63,24.02
25.28,0.4,26.52,24.03
25.24,0.37,26.43,23.95
25.23,0.38,26.4,24.05
25.2,0.38,26.34,24.02
25.21,0.41,26.33,24.02
25.25,0.47,26.51,23.95
25.42,0.54,26.81,24.01
25.51,0.6,27.19,24.05
25.61,0.67,27.56,24.08
25.7,0.69,27.63,24.11
25.76,0.75,28.17,24.12
25.8,0.73,28.04,24.12
25.94,0.83,28.22,24.08
26.01,0.87,28.41,24.2
26.05,0.88,28.36,24.22
26.03,0.8,28.13,24.2
26.08,0.85,28.2,24.2
26.12,0.82,28.31,24.27
26.07,0.77,28.12,24.23
26.08,0.74,27.98,24.23
26.08,0.79,28.03,24.24
26.09,0.83,28.13,24.04
26.08,0.88,28.36,24.11
26.09,0.93,28.71,24.08
26.1,0.94,28.81,24.08
26.17,1.06,29.28,24.02
26.19,1.1,29.38,24.02
26.17,1.08,29.33,24.06
26.14,1.05,29.11,24.06
26.15,1.07,29.12,24.07
26.18,1.07,29.06,24.24
26.16,1.03,28.77,24.2
26.04,0.94,28.55,24.12
25.95,0.86,28.24,24.08
25.87,0.81,27.94,24.16
25.75,0.77,27.71,24.08
25.7,0.74,27.62,23.99
25.65,0.71,27.41,24.01
25.65,0.69,27.33,24.0
25.54,0.6,26.79,24.05
25.45,0.48,26.54,24.1
25.39,0.41,26.37,24.02
25.32,0.35,26.27,24.02
25.28,0.31,26.11,24.11
25.23,0.27,25.93,24.13
25.17,0.22,25.76,24.03
25.08,0.18,25.57,24.06
25.04,0.15,25.42,24.0
25.0,0.13,25.32,24.01
24.96,0.11,25.22,24.02
24.93,0.1,25.29,24.03
24.87,0.11,25.21,23.95
24.85,0.12,25.24,23.97
24.81,0.13,25.2,23.92
24.79,0.14,25.17,23.94
24.75,0.15,25.15,23.92
24.75,0.15,25.19,23.91
24.75,0.15,25.19,23.91
24.99,0.18,25.34,24.27
25.05,0.19,25.43,24.33
25.07,0.2,25.46,24.35
25.07,0.2,25.45,24.37
25.06,0.21,25.46,24.31
25.06,0.22,25.46,24.36
25.03,0.22,25.41,24.32
25.06,0.22,25.43,24.28
25.07,0.23,25.46,24.32
25.07,0.23,25.43,24.37
25.06,0.23,25.47,24.33
25.05,0.23,25.47,24.33
25.06,0.23,25.41,24.3
25.01,0.23,25.4,24.32
25.01,0.23,25.44,24.3
25.0,0.24,25.43,24.28
24.96,0.24,25.38,24.27
24.95,0.24,25.48,24.28
24.93,0.25,25.43,24.31
24.94,0.25,25.37,24.26
24.94,0.25,25.39,24.27
24.91,0.26,25.4,24.2
24.92,0.26,25.47,24.27
24.95,0.26,25.53,24.26
24.94,0.27,25.49,24.29
24.95,0.27,25.49,24.31
24.95,0.27,25.52,24.27
24.97,0.27,25.52,24.15
25.01,0.27,25.57,24.29
25.02,0.27,25.54,24.27
25.07,0.27,25.58,24.38
25.05,0.26,25.55,24.37
25.05,0.26,25.54,24.38
25.02,0.26,25.52,24.35
25.03,0.26,25.52,24.34
25.0,0.26,25.49,24.27
25.0,0.26,25.49,24.27
25.0,0.26,25.48,24.32
25.07,0.25,25.57,24.4
25.11,0.25,25.6,24.46
25.11,0.25,25.61,24.43
25.07,0.25,25.52,24.43
25.04,0.24,25.46,24.37
25.02,0.24,25.5,24.36
25.01,0.24,25.49,24.33
25.01,0.24,25.46,24.33
25.01,0.23,25.53,24.3
25.02,0.23,25.49,24.31
25.1,0.23,25.55,24.34
25.09,0.23,25.53,24.39
25.09,0.23,25.57,24.4
25.16,0.22,25.6,24.45
25.12,0.22,25.55,24.38
25.11,0.22,25.55,24.4
25.11,0.22,25.51,24.42
25.11,0.22,25.51,24.33
25.1,0.22,25.55,24.39
25.11,0.21,25.59,24.39
25.14,0.21,25.56,24.45
25.13,0.21,25.52,24.4
25.12,0.21,25.54,24.38
25.1,0.21,25.52,24.35
25.04,0.21,25.48,24.37
25.02,0.21,25.44,24.37
25.02,0.21,25.43,24.28
25.0,0.21,25.4,24.29
24.99,0.21,25.41,24.3
25.0,0.2,25.37,24.29
25.0,0.2,25.37,24.34
25.01,0.2,25.42,24.33
25.05,0.2,25.43,24.33
25.05,0.2,25.42,24.32
25.02,0.19,25.37,24.33
25.02,0.19,25.38,24.36
25.06,0.19,25.43,24.35
25.06,0.19,25.41,24.35
25.02,0.19,25.4,24.3
25.03,0.18,25.35,24.34
25.02,0.18,25.39,24.3
25.02,0.19,25.4,24.27
25.02,0.18,25.46,24.3
25.06,0.18,25.46,24.34
25.06,0.18,25.54,24.36
25.07,0.18,25.47,24.36
25.06,0.17,25.39,24.32
25.05,0.17,25.41,24.26
25.07,0.17,25.43,24.4
25.06,0.17,25.41,24.33
25.04,0.17,25.45,24.3
25.04,0.16,25.36,24.32
25.05,0.16,25.44,24.37
25.06,0.16,25.46,24.33
25.07,0.15,25.46,24.35
25.11,0.15,25.44,24.39
25.11,0.15,25.45,24.39
25.18,0.15,25.52,24.45
25.15,0.15,25.47,24.45
25.15,0.15,25.5,24.44
25.11,0.14,25.37,24.35
25.07,0.14,25.38,24.39
25.07,0.14,25.37,24.39
25.07,0.14,25.41,24.38
25.08,0.15,25.39,24.36
25.08,0.15,25.54,24.37
25.09,0.15,25.43,24.34
25.05,0.15,25.43,24.32
25.06,0.15,25.4,24.33
25.09,0.15,25.42,24.35
25.12,0.18,25.59,24.29
25.17,0.22,25.74,24.33
25.24,0.27,25.99,24.36
25.25,0.29,26.08,24.36
25.3,0.31,26.22,24.39
25.31,0.32,26.26,24.41
25.32,0.31,26.23,24.37
25.34,0.29,26.25,24.42
25.38,0.29,26.25,24.42
25.45,0.27,26.23,24.46
25.52,0.27,26.25,24.45
25.57,0.3,26.29,24.45
25.57,0.31,26.32,24.44
25.49,0.3,26.22,24.41
25.46,0.29,26.18,24.41
25.48,0.29,26.22,24.41
25.47,0.31,26.36,24.4
25.42,0.34,26.42,24.34
25.43,0.37,26.44,24.36
25.44,0.4,26.57,24.29
25.47,0.42,26.56,24.35
25.49,0.38,26.43,24.36
25.57,0.35,26.43,24.39
25.66,0.37,26.97,24.39
25.76,0.48,27.68,24.39
25.83,0.54,27.98,24.47
25.71,0.46,27.6,24.43
25.63,0.4,27.12,24.4
25.54,0.32,26.74,24.42
25.46,0.25,26.39,24.48
25.32,0.18,25.88,24.34
25.23,0.16,25.7,24.28
25.2,0.14,25.58,24.36
25.17,0.14,25.54,24.33
25.15,0.13,25.45,24.37
25.15,0.13,25.56,24.34
25.13,0.12,25.41,24.36
25.1,0.12,25.41,24.36
25.09,0.11,25.37,24.28
25.09,0.11,25.35,24.36
25.06,0.11,25.33,24.32
25.01,0.11,25.25,24.34
25.0,0.11,25.37,24.37
25.0,0.11,25.28,24.31
25.03,0.11,25.37,24.37
25.03,0.11,25.37,24.43
25.03,0.11,25.34,24.41
25.09,0.11,25.6,24.5
25.09,0.11,25.48,24.38
25.04,0.11,25.39,24.39
25.04,0.11,25.37,24.45
24.98,0.11,25.33,24.38
24.98,0.11,25.37,24.33
24.98,0.11,25.38,24.37
24.94,0.11,25.25,24.33
24.91,0.11,25.24,24.28
24.89,0.11,25.29,24.17
24.88,0.11,25.22,24.25
24.86,0.11,25.4,24.22
24.87,0.11,25.22,24.24
24.86,0.11,25.22,24.21
24.95,0.11,25.32,24.28
24.95,0.11,25.37,24.26
24.94,0.11,25.27,24.3
24.98,0.11,25.28,24.37
24.99,0.11,25.35,24.3
25.01,0.11,25.32,24.35
25.03,0.11,25.48,24.36
25.05,0.11,25.35,24.39
25.06,0.11,25.37,24.39
25.06,0.11,25.34,24.38
25.07,0.11,25.34,24.35
25.09,0.11,25.43,24.36
25.09,0.11,25.37,24.37
25.1,0.11,25.38,24.36
25.11,0.11,25.42,24.39
25.11,0.11,25.4,24.39
25.09,0.11,25.42,24.34
25.08,0.12,25.4,24.37
25.05,0.12,25.4,24.28
25.04,0.12,25.42,24.3
25.06,0.13,25.47,24.33
25.04,0.13,25.43,24.29
25.04,0.13,25.46,24.33
25.08,0.14,25.55,24.35
25.05,0.13,25.49,24.36
25.08,0.12,25.48,24.39
25.06,0.12,25.43,24.32
25.06,0.11,25.41,24.35
25.05,0.11,25.41,24.36
25.02,0.13,25.55,24.33
25.03,0.13,25.5,24.31
25.03,0.14,25.57,24.33
25.09,0.14,25.62,24.38
25.09,0.14,25.58,24.38
25.07,0.15,26.78,24.44
25.07,0.15,26.72,24.36
25.06,0.15,26.77,24.36
25.03,0.13,26.62,24.33
25.03,0.12,25.46,24.3
25.04,0.11,25.4,24.3
25.02,0.11,25.37,24.36
25.03,0.11,25.46,24.32
25.04,0.11,25.44,24.34
25.06,0.12,25.51,24.31
25.05,0.12,25.46,24.34
25.04,0.12,25.51,24.39
25.06,0.14,25.6,24.36
25.08,0.17,25.73,24.26
25.13,0.17,25.78,24.42
25.09,0.16,25.76,24.36
25.11,0.18,25.95,24.36
25.12,0.18,25.96,24.38
25.11,0.17,25.88,24.36
25.09,0.17,25.85,24.36
25.09,0.15,25.76,24.36
25.12,0.15,25.76,24.41
25.13,0.14,25.74,24.43
25.14,0.15,25.75,24.39
25.15,0.13,25.64,24.42
25.18,0.12,25.61,24.41
25.19,0.11,25.63,24.42
25.22,0.1,25.56,24.45
25.22,0.09,25.55,24.48
25.22,0.1,25.55,24.48
25.25,0.11,25.71,24.45
25.22,0.15,25.82,24.36
25.22,0.19,25.99,24.33
25.23,0.21,26.1,24.33
25.3,0.3,26.33,24.33
25.32,0.29,26.34,24.36
25.31,0.29,26.34,24.4
25.31,0.26,26.26,24.4
25.26,0.2,25.93,24.36
25.23,0.16,25.78,24.37
25.23,0.13,25.68,24.37
25.23,0.11,25.58,24.32
25.24,0.09,25.58,24.33
25.26,0.08,25.49,24.39
25.28,0.08,25.47,24.39
25.28,0.08,25.53,24.42
25.27,0.08,25.5,24.38
25.26,0.08,25.49,24.34
25.25,0.08,25.54,24.37
25.24,0.08,25.47,24.37
25.23,0.08,25.48,24.33
25.23,0.08,25.51,24.36
25.22,0.08,25.59,24.33
25.2,0.08,25.42,24.31
25.17,0.08,25.39,24.28
25.16,0.08,25.43,24.29
25.14,0.07,25.42,24.33
25.18,0.07,25.4,24.36
25.18,0.07,25.4,24.37
25.23,0.07,25.45,24.38
25.25,0.08,25.47,24.38
25.25,0.07,25.48,24.37
25.23,0.08,25.46,24.37
25.24,0.08,25.51,24.34
25.23,0.08,25.46,24.32
25.24,0.07,25.49,24.41
25.27,0.07,25.49,24.38
25.28,0.07,25.51,24.43
25.3,0.09,25.53,24.39
25.3,0.11,25.6,24.36
25.34,0.15,25.85,24.31
