Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
26.74,0.41,27.91,24.76
26.7,0.43,27.88,24.8
26.69,0.43,27.73,24.66
26.66,0.41,27.65,24.74
26.76,0.56,28.09,24.73
26.77,0.55,27.98,24.77
26.71,0.5,27.8,24.69
26.71,0.46,27.78,24.79
26.67,0.43,27.69,24.82
26.63,0.4,27.58,24.9
26.64,0.45,27.85,24.86
26.71,0.56,28.27,24.83
26.65,0.51,27.97,24.83
26.58,0.45,27.93,24.88
26.56,0.44,27.9,24.85
26.53,0.4,27.75,24.89
26.5,0.38,27.69,24.9
26.46,0.37,27.43,24.91
26.47,0.4,27.53,24.83
26.47,0.42,27.49,24.81
26.47,0.4,27.36,24.86
26.43,0.38,27.27,24.89
26.4,0.37,27.17,24.89
26.39,0.35,27.11,24.92
26.37,0.34,27.06,24.83
26.33,0.33,27.03,24.89
26.32,0.32,27.01,24.83
26.29,0.32,27.12,24.89
26.27,0.33,27.2,24.85
26.27,0.35,27.3,24.79
26.34,0.37,27.24,24.86
26.35,0.4,27.3,24.75
26.37,0.4,27.15,24.76
26.33,0.41,27.19,24.77
26.28,0.41,27.13,24.61
26.23,0.41,27.06,24.59
26.22,0.41,27.03,24.56
26.22,0.42,27.05,24.57
26.18,0.4,26.91,24.53
26.14,0.39,26.82,24.49
26.11,0.39,26.78,24.47
26.13,0.38,26.86,24.52
26.12,0.37,26.82,24.56
26.1,0.37,26.83,24.53
26.07,0.36,26.81,24.5
26.04,0.36,26.74,24.52
26.03,0.36,26.81,24.51
26.0,0.37,26.86,24.57
25.9,0.36,26.7,24.55
25.89,0.36,26.78,24.56
25.88,0.36,26.7,24.5
25.86,0.35,26.63,24.62
25.83,0.35,26.67,24.61
25.86,0.34,26.67,24.65
25.86,0.34,26.64,24.65
25.86,0.33,26.6,24.66
25.84,0.3,26.51,24.64
25.83,0.28,26.56,24.69
25.78,0.28,26.57,24.65
25.78,0.29,26.51,24.63
25.77,0.31,26.45,24.64
25.77,0.32,26.37,24.59
25.77,0.33,26.42,24.56
25.81,0.34,26.52,24.65
25.82,0.35,26.64,24.63
25.84,0.4,26.64,24.62
25.87,0.4,26.7,24.63
25.9,0.39,26.65,24.62
25.92,0.38,26.76,24.63
25.94,0.36,26.68,24.62
25.97,0.36,26.76,24.59
26.02,0.39,26.86,24.56
26.17,0.48,27.47,24.6
26.23,0.46,27.47,24.65
26.29,0.47,27.6,24.68
26.36,0.45,27.6,24.68
26.4,0.45,27.48,24.69
26.37,0.37,27.36,24.73
26.35,0.35,27.31,24.83
26.3,0.34,27.25,24.7
26.23,0.3,27.04,24.85
26.16,0.27,26.81,24.89
26.12,0.28,26.75,24.83
26.21,0.33,26.99,24.83
26.32,0.41,27.25,24.84
26.36,0.42,27.52,24.86
26.42,0.47,27.79,24.91
26.47,0.53,28.2,24.86
26.53,0.57,28.26,24.74
26.54,0.6,28.35,24.86
26.59,0.63,28.72,24.89
26.64,0.69,29.44,24.89
26.74,0.82,30.17,24.83
26.82,0.87,30.12,24.94
26.92,0.84,30.05,24.94
26.95,0.79,29.83,24.98
26.94,0.76,29.77,24.96
26.93,0.76,29.68,24.92
26.94,0.74,29.49,24.95
26.96,0.75,29.72,24.94
26.97,0.76,29.62,24.88
26.99,0.76,29.64,24.99
26.98,0.7,29.48,24.99
26.95,0.7,29.39,24.96
26.96,0.72,29.48,25.01
26.97,0.75,29.75,24.99
26.97,0.76,29.7,25.01
26.98,0.76,29.81,25.03
26.99,0.79,29.86,25.04
26.99,0.78,29.82,25.02
26.97,0.8,30.2,24.97
26.89,0.8,29.91,24.97
26.81,0.79,29.69,24.92
26.75,0.78,29.32,24.87
26.68,0.72,28.93,24.86
26.59,0.66,28.67,24.8
26.49,0.59,28.3,24.79
26.4,0.52,27.99,24.69
26.29,0.48,27.71,24.7
26.23,0.45,27.52,24.68
26.15,0.39,27.22,24.65
26.09,0.34,27.05,24.65
26.09,0.32,27.03,24.77
26.04,0.32,26.91,24.69
26.01,0.3,26.84,24.74
26.0,0.29,26.77,24.72
25.9,0.27,26.62,24.68
25.86,0.26,26.59,24.62
25.82,0.26,26.53,24.69
25.8,0.25,26.49,24.68
25.77,0.24,26.42,24.65
25.74,0.24,26.45,24.65
25.75,0.24,26.46,24.59
25.72,0.23,26.41,24.65
25.68,0.23,26.31,24.68
25.64,0.22,26.18,24.56
25.6,0.23,26.17,24.57
25.57,0.24,26.14,24.53
25.53,0.25,26.14,24.56
25.51,0.27,26.24,24.38
25.49,0.29,26.19,24.44
25.47,0.29,26.17,24.49
25.45,0.28,26.09,24.47
25.42,0.28,26.03,24.52
25.39,0.25,25.96,24.39
25.41,0.25,25.95,24.57
25.42,0.24,25.94,24.57
25.38,0.27,26.1,24.54
25.47,0.34,26.47,24.53
25.5,0.33,26.46,24.41
25.56,0.33,26.48,24.59
25.62,0.34,26.61,24.55
25.77,0.42,27.03,24.51
25.84,0.41,27.05,24.53
25.89,0.45,27.14,24.59
25.91,0.43,27.16,24.65
25.84,0.38,26.99,24.57
25.91,0.41,27.12,24.66
25.95,0.41,27.3,24.6
26.01,0.44,27.38,24.64
26.02,0.43,27.41,24.59
26.0,0.43,27.35,24.68
26.06,0.49,27.36,24.63
26.13,0.52,27.59,24.56
26.19,0.53,27.83,24.64
26.2,0.56,28.02,24.62
26.28,0.62,28.33,24.56
26.41,0.74,29.11,24.72
26.51,0.78,29.23,24.7
26.61,0.8,29.39,24.69
26.73,0.87,29.65,24.76
26.81,0.9,29.82,24.65
26.91,0.95,30.24,24.68
27.06,1.05,30.88,24.72
27.13,1.09,30.89,24.68
27.11,1.03,30.75,24.68
27.09,0.97,30.43,24.77
27.11,0.98,30.52,24.74
27.12,0.93,30.24,24.74
27.09,0.9,30.03,24.71
27.1,0.89,29.88,24.61
27.12,0.91,29.6,24.61
27.08,0.83,29.26,24.73
27.1,0.84,29.34,24.74
27.11,0.86,29.41,24.74
27.07,0.77,29.14,24.67
27.13,0.75,29.0,24.8
27.17,0.73,29.13,24.86
27.16,0.71,28.8,24.84
27.2,0.68,28.83,24.94
27.16,0.66,28.95,24.92
27.06,0.59,28.62,24.89
26.97,0.56,28.61,24.86
26.88,0.51,28.4,24.87
26.79,0.54,28.56,24.81
26.74,0.5,28.22,24.71
26.68,0.47,28.03,24.77
26.6,0.45,27.83,24.77
26.53,0.44,27.76,24.71
26.5,0.44,27.66,24.75
26.46,0.45,27.58,24.74
26.35,0.44,27.47,24.73
26.23,0.41,27.27,24.71
26.15,0.39,27.1,24.71
26.1,0.39,27.25,24.7
26.09,0.4,27.17,24.71
26.1,0.37,27.11,24.83
26.14,0.39,27.35,24.83
26.13,0.38,27.41,24.81
26.13,0.42,27.61,24.74
26.15,0.43,27.59,24.83
26.09,0.45,27.58,24.75
26.09,0.45,27.47,24.7
26.05,0.44,27.34,24.71
26.05,0.44,27.36,24.68
26.06,0.44,27.31,24.76
25.98,0.42,27.08,24.7
25.93,0.4,26.92,24.57
25.97,0.43,26.92,24.54
25.99,0.44,27.01,24.63
26.02,0.46,27.06,24.58
25.99,0.44,26.99,24.65
26.02,0.41,26.92,24.67
26.09,0.5,27.3,24.65
26.15,0.48,27.22,24.59
26.12,0.46,27.14,24.56
26.12,0.46,27.2,24.7
26.1,0.44,27.66,24.68
26.08,0.46,27.41,24.71
26.03,0.42,27.13,24.68
25.97,0.4,26.94,24.63
25.91,0.38,26.86,24.66
25.89,0.4,26.82,24.63
25.87,0.39,26.73,24.62
25.79,0.35,26.5,24.64
25.7,0.33,26.39,24.56
25.64,0.32,26.27,24.51
25.63,0.33,26.4,24.5
25.64,0.34,26.39,24.47
25.63,0.34,26.59,24.5
25.64,0.36,26.7,24.54
25.65,0.37,26.63,24.56
25.63,0.36,26.59,24.5
25.66,0.39,26.59,24.45
25.72,0.43,26.67,24.51
25.71,0.4,26.59,24.4
25.72,0.39,26.61,24.45
25.75,0.41,26.65,24.41
25.78,0.4,26.57,24.59
25.82,0.41,26.7,24.53
25.84,0.4,26.82,24.39
25.89,0.46,27.08,24.57
25.96,0.5,27.09,24.49
25.89,0.45,26.93,24.45
25.86,0.43,26.96,24.46
25.89,0.4,26.89,24.53
25.88,0.4,26.89,24.56
25.96,0.39,27.11,24.65
26.0,0.41,27.22,24.59
25.96,0.37,27.03,24.57
25.99,0.35,26.91,24.67
26.0,0.34,26.8,24.61
26.0,0.33,26.83,24.71
25.98,0.31,26.75,24.74
25.97,0.31,26.69,24.71
25.88,0.31,26.56,24.57
25.9,0.32,26.64,24.59
25.84,0.34,26.56,24.51
25.91,0.42,26.84,24.48
25.98,0.42,26.85,24.42
25.99,0.38,26.73,24.5
25.97,0.33,26.59,24.43
25.98,0.32,26.59,24.56
26.02,0.33,26.7,24.47
25.96,0.29,26.56,24.59
25.93,0.3,26.66,24.57
25.93,0.33,26.95,24.6
26.04,0.4,27.37,24.62
26.05,0.4,27.33,24.62
26.06,0.41,27.38,24.63
26.06,0.38,27.22,24.65
26.06,0.36,27.29,24.57
26.05,0.36,27.14,24.67
26.03,0.37,27.18,24.58
26.04,0.37,27.14,24.67
26.09,0.4,27.18,24.64
26.1,0.37,27.09,24.55
26.05,0.34,26.87,24.57
26.02,0.33,26.72,24.56
25.97,0.31,26.69,24.51
25.96,0.3,26.74,24.59
25.97,0.32,26.73,24.62
26.0,0.32,26.73,24.62
25.96,0.3,26.63,24.61
25.92,0.29,26.62,24.65
25.91,0.29,26.65,24.61
25.87,0.28,26.64,24.56
25.84,0.26,26.6,24.68
25.75,0.26,26.51,24.58
25.76,0.3,26.59,24.59
25.81,0.34,26.64,24.61
25.86,0.34,26.6,24.51
25.88,0.34,26.64,24.55
25.9,0.35,26.71,24.65
25.95,0.36,26.68,24.63
25.94,0.33,26.58,24.65
25.92,0.31,26.49,24.61
25.9,0.29,26.45,24.56
25.87,0.28,26.42,24.59
25.87,0.28,26.43,24.56
25.86,0.29,26.44,24.64
25.88,0.32,26.66,24.57
25.91,0.33,26.69,24.6
25.91,0.31,26.64,24.58
25.89,0.32,26.7,24.56
25.9,0.36,26.92,24.56
25.97,0.38,27.09,24.56
26.03,0.38,27.06,24.55
26.07,0.4,27.14,24.53
26.14,0.41,27.14,24.57
26.26,0.44,27.25,24.62
26.27,0.42,27.14,24.63
26.27,0.41,27.15,24.63
26.26,0.37,26.9,24.65
26.23,0.35,26.82,24.7
26.15,0.33,26.69,24.54
26.15,0.34,26.79,24.58
26.19,0.35,26.81,24.65
26.2,0.35,26.89,24.65
26.18,0.34,26.81,24.61
26.2,0.36,27.0,24.71
26.13,0.36,27.09,24.65
26.08,0.38,27.11,24.57
26.07,0.4,27.2,24.58
26.04,0.41,27.25,24.54
26.03,0.41,27.19,24.57
26.02,0.43,27.25,24.57
25.99,0.38,27.11,24.68
25.94,0.38,27.09,24.55
25.92,0.39,27.2,24.65
25.85,0.4,27.06,24.56
25.82,0.39,26.97,24.63
25.84,0.37,26.84,24.59
25.82,0.36,26.88,24.62
25.84,0.39,26.93,24.58
25.93,0.47,27.23,24.52
26.01,0.48,27.21,24.62
26.01,0.46,27.06,24.61
26.03,0.49,27.24,24.61
26.04,0.49,27.36,24.59
26.06,0.51,27.49,24.6
26.07,0.52,27.35,24.65
26.06,0.57,27.72,24.54
26.11,0.58,27.6,24.57
26.13,0.56,27.66,24.55
26.16,0.54,27.66,24.55
26.14,0.5,27.36,24.51
26.19,0.48,27.24,24.62
26.23,0.48,27.29,24.64
26.2,0.43,27.16,24.64
26.15,0.39,27.0,24.59
25.98,0.32,26.68,24.55
25.93,0.3,26.61,24.62
25.9,0.32,26.73,24.59
25.87,0.37,26.89,24.53
25.87,0.35,26.74,24.59
25.9,0.41,26.86,24.54
25.9,0.38,26.75,24.46
25.87,0.37,26.77,24.5
25.9,0.39,26.82,24.56
25.93,0.38,26.7,24.62
25.88,0.37,26.61,24.57
25.9,0.37,26.66,24.55
25.89,0.35,26.64,24.58
25.9,0.36,26.7,24.57
25.96,0.4,26.78,24.59
26.05,0.42,26.93,24.64
26.0,0.4,26.9,24.55
25.97,0.37,26.8,24.61
26.07,0.43,27.11,24.6
26.09,0.4,26.95,24.61
26.05,0.36,26.82,24.47
26.06,0.34,26.73,24.62
26.11,0.38,26.89,24.65
26.1,0.35,26.85,24.68
26.08,0.33,26.75,24.64
26.0,0.33,26.82,24.61
25.92,0.32,26.68,24.57
25.88,0.3,26.7,24.52
25.9,0.34,26.72,24.6
25.92,0.32,26.57,24.53
25.95,0.31,26.53,24.54
25.97,0.28,26.61,24.57
25.91,0.25,26.42,24.55
25.83,0.26,26.48,24.51
25.81,0.25,26.5,24.57
25.81,0.25,26.56,24.63
25.84,0.24,26.64,24.71
25.82,0.24,26.54,24.68
25.8,0.24,26.45,24.66
25.8,0.27,26.71,24.65
25.82,0.29,26.75,24.7
25.79,0.3,26.72,24.73
25.77,0.29,26.61,24.58
25.71,0.3,26.67,24.57
25.77,0.38,27.01,24.62
25.78,0.39,27.14,24.62
25.78,0.41,27.14,24.59
25.77,0.4,27.01,24.56
25.86,0.44,27.23,24.64
25.85,0.4,27.03,24.53
25.86,0.37,26.95,24.71
25.83,0.34,26.81,24.64
25.78,0.32,26.67,24.66
25.69,0.3,26.5,24.65
25.61,0.28,26.37,24.65
25.56,0.26,26.29,24.6
25.54,0.25,26.25,24.58
25.51,0.24,26.19,24.49
25.48,0.19,26.01,24.67
25.25,0.11,25.54,24.61
25.09,0.08,25.33,24.59
24.96,0.06,25.26,24.56
24.87,0.06,25.19,24.47
24.79,0.05,25.04,24.42
24.79,0.08,25.18,24.38
24.76,0.09,25.15,24.33
24.74,0.13,25.18,24.19
24.68,0.15,25.15,24.15
24.65,0.13,25.02,24.21
24.58,0.11,24.95,24.06
24.53,0.1,24.89,24.13
24.49,0.08,24.86,24.09
24.48,0.08,24.86,24.06
24.44,0.08,24.74,24.04
24.45,0.09,24.77,23.95
24.42,0.09,24.78,24.04
24.42,0.09,24.79,24.0
24.41,0.09,24.77,24.08
24.44,0.07,24.76,24.06
24.44,0.06,24.74,24.12
24.46,0.07,24.77,24.14
24.56,0.08,25.04,24.28
24.62,0.07,24.96,24.33
24.64,0.07,25.0,24.32
24.64,0.08,25.01,24.17
24.64,0.09,24.95,24.17
24.65,0.11,24.93,24.17
24.72,0.15,25.13,24.19
24.74,0.15,25.13,24.14
24.77,0.15,25.12,24.2
24.81,0.14,25.14,24.26
24.82,0.14,25.24,24.29
24.84,0.14,25.21,24.26
24.88,0.15,25.24,24.29
24.89,0.13,25.2,24.34
24.87,0.12,25.24,24.33
24.9,0.11,25.2,24.43
24.82,0.11,25.19,24.32
24.8,0.1,25.06,24.17
24.77,0.1,25.15,24.2
24.74,0.11,25.08,24.21
24.72,0.1,25.02,24.22
24.68,0.09,24.96,24.2
24.66,0.09,24.97,24.22
24.62,0.09,24.92,24.18
24.57,0.09,24.84,24.13
24.61,0.12,24.99,24.14
24.69,0.13,25.01,24.2
24.73,0.13,25.07,24.19
24.84,0.14,25.24,24.23
24.89,0.16,25.33,24.3
24.93,0.16,25.35,24.36
24.93,0.16,25.39,24.3
24.95,0.17,25.39,24.31
24.98,0.17,25.42,24.27
24.99,0.17,25.45,24.23
25.03,0.17,25.48,24.3
25.07,0.18,25.52,24.35
25.08,0.19,25.57,24.36
25.09,0.24,25.81,24.35
25.06,0.26,25.76,24.25
25.07,0.26,25.73,24.26
25.1,0.25,25.73,24.28
25.12,0.24,25.69,24.3
25.1,0.23,25.62,24.25
25.12,0.25,25.68,24.32
25.18,0.3,26.01,24.32
25.25,0.32,25.99,24.34
25.27,0.3,25.94,24.36
25.27,0.29,25.9,24.41
25.34,0.27,25.91,24.5
25.34,0.26,25.89,24.53
25.34,0.24,25.84,24.49
25.34,0.23,25.81,24.53
25.31,0.22,25.77,24.58
25.31,0.24,25.94,24.59
25.29,0.24,25.89,24.49
25.31,0.24,25.87,24.56
25.32,0.23,25.86,24.51
25.32,0.23,25.86,24.53
25.33,0.21,25.85,24.55
25.33,0.2,25.85,24.44
25.36,0.22,25.97,24.56
25.36,0.22,25.99,24.53
25.32,0.21,25.94,24.54
25.31,0.19,25.82,24.61
25.24,0.18,25.73,24.59
25.2,0.17,25.74,24.5
25.2,0.18,25.85,24.58
25.18,0.2,25.94,24.61
25.19,0.26,26.1,24.56
25.21,0.28,26.21,24.5
25.16,0.29,26.28,24.49
25.17,0.33,26.42,24.5
25.16,0.36,26.45,24.38
25.17,0.39,26.47,24.43
25.18,0.38,26.44,24.43
25.17,0.37,26.45,24.44
25.19,0.35,26.28,24.25
25.21,0.34,26.27,24.43
25.25,0.34,26.22,24.38
25.36,0.35,26.25,24.49
25.37,0.36,26.3,24.56
25.39,0.34,26.2,24.58
25.47,0.33,26.25,24.62
25.48,0.3,26.19,24.62
25.45,0.3,26.17,24.68
25.5,0.3,26.14,24.63
25.48,0.28,26.11,24.61
25.46,0.29,26.28,24.62
25.5,0.36,26.89,24.68
25.48,0.33,26.54,24.68
25.42,0.29,26.3,24.66
25.45,0.32,26.52,24.65
25.49,0.31,26.46,24.69
25.42,0.3,26.25,24.59
25.4,0.29,26.08,24.68
25.36,0.26,25.92,24.63
25.34,0.25,26.0,24.63
25.33,0.24,25.91,24.64
25.29,0.22,25.88,24.65
25.31,0.23,25.91,24.64
25.34,0.26,25.95,24.69
25.36,0.25,26.01,24.65
25.34,0.23,25.96,24.5
25.35,0.24,25.95,24.63
25.33,0.23,25.94,24.55
25.31,0.21,25.88,24.54
25.31,0.21,25.85,24.61
25.32,0.21,25.91,24.65
25.3,0.21,25.94,24.62
25.2,0.23,25.67,24.61
25.2,0.24,25.71,24.56
25.3,0.24,25.9,24.62
25.29,0.22,25.88,24.64
25.29,0.21,25.82,24.73
25.27,0.23,25.85,24.63
25.31,0.27,25.86,24.68
25.28,0.28,25.9,24.65
25.24,0.27,25.85,24.59
25.22,0.28,25.91,24.59
25.21,0.28,25.88,24.59
25.21,0.29,25.88,24.49
25.26,0.3,25.95,24.61
25.28,0.29,25.92,24.56
25.23,0.27,25.88,24.52
25.19,0.26,25.91,24.58
25.21,0.26,25.94,24.5
25.23,0.25,25.9,24.61
25.21,0.24,25.83,24.56
25.15,0.22,25.82,24.61
25.12,0.2,25.68,24.56
25.08,0.2,25.68,24.46
25.01,0.19,25.59,24.46
24.99,0.18,25.5,24.45
24.96,0.15,25.43,24.52
24.94,0.16,25.48,24.48
24.95,0.17,25.55,24.47
24.95,0.17,25.47,24.43
25.0,0.18,25.62,24.48
25.03,0.18,25.66,24.56
25.05,0.25,25.85,24.46
25.07,0.25,25.83,24.55
25.06,0.25,25.79,24.52
25.04,0.26,25.78,24.46
25.07,0.27,25.84,24.49
25.06,0.26,25.78,24.42
25.06,0.26,25.82,24.42
25.07,0.27,25.82,24.46
25.08,0.26,25.83,24.41
25.11,0.27,25.88,24.49
25.09,0.26,25.69,24.41
25.07,0.24,25.61,24.42
25.03,0.22,25.5,24.38
25.02,0.23,25.48,24.37
