Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
24.46,0.09,24.71,23.99
24.45,0.1,24.73,24.05
24.45,0.1,24.69,24.01
24.43,0.09,24.67,23.94
24.4,0.1,24.66,23.82
24.39,0.1,24.72,23.94
24.39,0.1,24.63,23.85
24.42,0.1,24.77,23.97
24.42,0.1,24.72,23.99
24.44,0.1,24.75,24.01
24.44,0.1,24.78,23.99
24.44,0.1,24.69,23.93
24.41,0.1,24.67,23.92
24.42,0.1,24.72,24.0
24.41,0.1,24.65,23.83
24.45,0.1,24.68,24.01
24.43,0.1,24.68,23.96
24.42,0.1,24.76,23.98
24.42,0.1,24.66,23.95
24.42,0.1,24.68,23.97
24.41,0.1,24.65,23.94
24.41,0.1,24.67,23.93
24.4,0.09,24.68,23.91
24.41,0.09,24.68,24.01
24.4,0.09,24.65,23.97
24.39,0.09,24.69,23.95
24.4,0.09,24.65,23.98
24.43,0.09,24.72,23.91
24.45,0.1,24.7,23.99
24.5,0.12,24.8,23.99
24.57,0.15,24.92,24.04
24.6,0.15,24.92,24.04
24.73,0.26,25.51,24.08
24.96,0.48,26.27,24.14
25.35,0.78,27.15,24.02
25.64,0.93,27.47,24.18
25.84,1.02,27.98,24.09
25.99,1.04,28.07,24.17
26.09,1.02,28.16,24.18
26.2,1.01,28.19,24.24
26.34,0.99,28.17,24.29
26.43,0.98,28.29,24.42
26.56,1.0,28.56,24.39
26.67,0.98,28.66,24.27
26.74,0.97,28.82,24.37
26.78,0.93,28.71,24.37
26.87,0.99,28.9,24.35
26.98,0.97,28.98,24.42
27.02,0.93,28.94,24.44
27.12,0.93,29.06,24.35
27.21,0.88,29.02,24.46
27.26,0.85,28.98,24.55
27.23,0.8,28.94,24.5
27.24,0.8,28.93,24.53
27.24,0.78,29.0,24.51
27.16,0.7,28.68,24.49
27.05,0.63,28.51,24.56
26.95,0.59,28.36,24.62
26.89,0.56,28.18,24.59
26.77,0.52,27.95,24.58
26.65,0.51,27.83,24.59
26.54,0.48,27.58,24.58
26.58,0.56,27.73,24.49
26.57,0.54,27.74,24.52
26.55,0.5,27.71,24.59
26.56,0.52,27.64,24.62
26.58,0.54,27.74,24.58
26.49,0.5,27.49,24.52
26.46,0.46,27.33,24.59
26.38,0.42,27.27,24.57
26.3,0.4,27.3,24.57
26.28,0.38,27.22,24.5
26.32,0.37,27.17,24.58
26.26,0.35,27.11,24.56
26.27,0.35,27.13,24.58
26.28,0.35,27.15,24.65
26.26,0.36,27.16,24.61
26.36,0.43,27.47,24.65
26.41,0.46,27.58,24.74
26.45,0.45,27.6,24.74
26.48,0.45,27.79,24.76
26.57,0.5,28.0,24.8
26.55,0.5,27.89,24.65
26.63,0.54,28.09,24.76
26.65,0.52,27.93,24.66
26.61,0.5,27.98,24.72
26.71,0.56,28.19,24.76
26.82,0.55,28.33,24.81
26.85,0.53,28.24,24.74
26.83,0.5,28.03,24.77
26.8,0.47,28.02,24.75
