Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
27.64,1.64,32.71,24.78
27.61,1.6,32.56,24.77
27.56,1.53,32.09,24.74
27.6,1.62,32.81,24.76
27.61,1.64,32.37,24.67
27.56,1.59,32.1,24.74
27.45,1.47,31.66,24.5
27.38,1.39,31.25,24.63
27.31,1.29,30.95,24.63
27.23,1.23,30.61,24.56
27.13,1.09,30.12,24.28
27.05,1.01,29.74,24.52
26.96,0.91,29.41,24.5
26.82,0.83,29.04,24.47
26.73,0.76,28.73,24.55
26.67,0.7,28.56,24.58
26.59,0.65,28.28,24.44
26.54,0.62,28.06,24.59
26.48,0.58,27.85,24.57
26.36,0.54,27.64,24.53
26.3,0.52,27.49,24.53
26.25,0.5,27.36,24.47
26.22,0.5,27.36,24.57
26.18,0.49,27.22,24.5
26.16,0.49,27.16,24.5
26.14,0.48,27.08,24.47
26.12,0.48,27.04,24.48
26.06,0.46,27.0,24.44
26.02,0.45,26.94,24.43
25.99,0.46,27.03,24.5
25.98,0.46,26.9,24.35
25.96,0.48,27.09,24.34
25.98,0.51,27.07,24.28
26.02,0.58,27.57,24.33
26.04,0.59,27.54,24.38
26.02,0.57,27.3,24.4
26.02,0.57,27.34,24.32
26.0,0.58,27.4,24.39
26.02,0.59,27.43,24.28
26.02,0.59,27.36,24.46
25.98,0.58,27.28,24.44
26.03,0.55,27.15,24.46
26.01,0.52,27.16,24.4
26.06,0.52,27.18,24.5
26.07,0.5,27.16,24.47
26.11,0.48,27.47,24.47
26.13,0.47,27.47,24.48
26.15,0.49,27.44,24.4
26.18,0.5,27.41,24.53
26.2,0.53,27.36,24.24
26.29,0.57,27.63,24.53
26.36,0.62,28.02,24.6
26.4,0.65,28.43,24.56
26.41,0.66,28.39,24.56
26.38,0.64,28.06,24.47
26.36,0.61,27.81,24.51
26.41,0.64,27.81,24.53
26.49,0.67,27.98,24.5
26.56,0.74,28.9,24.42
26.65,0.82,29.62,24.53
26.78,0.96,30.17,24.53
26.81,1.02,30.56,24.59
26.81,1.05,30.49,24.29
26.82,1.08,30.69,24.36
26.79,1.18,31.39,24.59
26.82,1.26,31.65,24.48
26.9,1.42,32.78,24.53
26.95,1.5,33.01,24.38
26.94,1.48,32.86,24.56
26.96,1.49,33.18,24.48
26.99,1.51,33.22,24.58
26.98,1.46,32.52,24.56
26.94,1.36,31.77,24.52
26.9,1.26,31.15,24.47
26.86,1.19,30.57,24.53
26.85,1.11,30.18,24.55
26.89,1.14,30.65,24.53
26.87,1.16,30.63,24.48
26.83,1.12,30.57,24.52
