Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
24.44,0.14,24.74,23.86
24.44,0.14,24.89,23.87
24.44,0.14,24.74,23.87
24.42,0.14,24.7,23.91
24.38,0.14,24.67,23.85
24.38,0.14,24.71,23.83
24.38,0.14,24.65,23.85
24.4,0.14,24.68,23.85
24.41,0.14,24.71,23.89
24.43,0.14,24.81,23.86
24.43,0.14,24.69,23.86
24.43,0.14,24.74,23.91
24.4,0.14,24.73,23.83
24.41,0.14,24.69,23.88
24.4,0.14,24.71,23.83
24.44,0.14,24.8,23.92
24.42,0.14,24.71,23.93
24.41,0.13,24.77,23.77
24.41,0.13,24.68,23.89
24.41,0.13,24.77,23.87
24.39,0.13,24.7,23.83
24.4,0.13,24.77,23.89
24.4,0.13,24.68,23.9
24.4,0.13,24.82,23.88
24.39,0.13,24.68,23.89
24.39,0.13,24.79,23.9
24.4,0.13,24.74,23.86
24.43,0.13,24.81,23.87
24.46,0.13,24.85,23.94
24.49,0.14,24.85,23.92
24.54,0.16,24.88,23.9
24.6,0.17,25.01,23.95
24.7,0.24,25.45,24.08
24.94,0.41,25.89,23.89
25.09,0.48,26.16,24.05
25.24,0.54,26.56,24.12
25.32,0.55,26.69,24.11
25.46,0.62,27.09,24.17
25.59,0.72,27.55,24.26
25.72,0.76,27.66,24.23
25.94,0.83,28.03,24.44
26.09,0.89,28.25,24.48
26.21,0.88,28.23,24.51
26.33,0.91,28.6,24.73
26.38,0.86,28.48,24.8
26.43,0.85,28.6,24.9
26.48,0.83,28.43,24.99
26.48,0.75,28.24,25.01
26.54,0.79,28.51,25.04
26.53,0.71,28.29,25.17
26.53,0.67,28.13,25.17
26.54,0.64,28.09,25.23
26.6,0.68,28.3,25.27
26.67,0.72,28.4,25.24
26.72,0.72,28.43,25.27
26.78,0.71,28.32,25.28
26.82,0.71,28.47,25.36
26.87,0.74,28.48,25.37
26.93,0.73,28.5,25.39
27.02,0.75,28.39,25.43
27.0,0.7,28.19,25.36
26.99,0.65,28.0,25.36
26.93,0.51,27.74,25.39
26.87,0.47,27.68,25.42
26.85,0.45,27.63,25.38
26.84,0.45,27.57,25.37
26.84,0.47,27.63,25.36
26.81,0.48,27.58,25.33
26.75,0.44,27.48,25.31
26.71,0.43,27.52,25.27
26.83,0.54,27.98,25.28
26.95,0.61,28.64,25.29
27.07,0.69,28.96,25.35
27.06,0.7,28.95,25.42
26.99,0.6,28.58,25.44
26.93,0.56,28.38,25.48
26.95,0.58,28.3,25.47
26.93,0.52,28.09,25.46
26.92,0.55,28.27,25.44
26.91,0.51,28.05,25.35
26.91,0.51,27.98,25.45
26.86,0.47,27.74,25.41
26.74,0.43,27.61,25.32
26.71,0.45,27.68,25.31
26.74,0.52,28.27,25.26
26.79,0.56,28.46,25.22
26.75,0.51,28.19,25.32
26.76,0.48,27.97,25.39
26.76,0.46,27.93,25.37
26.69,0.43,27.78,25.35
26.65,0.43,27.82,25.29
26.68,0.46,27.82,25.33
26.65,0.46,27.79,25.28
26.59,0.44,27.7,25.22
26.54,0.42,27.58,25.21
26.4,0.38,27.41,25.07
26.42,0.42,27.54,25.14
26.42,0.46,27.64,25.1
26.43,0.46,27.66,25.12
26.46,0.5,27.74,25.05
26.49,0.51,27.78,25.03
26.51,0.55,27.8,24.99
26.46,0.5,27.62,24.97
26.45,0.6,28.3,24.89
26.53,0.68,28.32,24.79
26.47,0.6,28.06,24.84
26.43,0.59,28.02,24.95
26.44,0.63,28.01,24.88
26.34,0.58,27.76,24.89
26.29,0.54,27.63,24.92
26.25,0.53,27.53,24.86
26.27,0.57,27.76,24.83
26.25,0.58,27.65,24.83
26.21,0.55,27.55,24.78
26.16,0.51,27.34,24.77
26.1,0.49,27.22,24.75
