Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
26.05,0.48,27.16,24.65
26.03,0.46,27.06,24.68
25.99,0.45,27.01,24.7
25.95,0.43,26.95,24.68
25.91,0.4,26.8,24.6
25.92,0.39,26.78,24.74
25.92,0.41,27.07,24.79
25.96,0.44,27.17,24.77
25.92,0.43,27.04,24.69
25.86,0.43,26.97,24.62
25.81,0.42,26.93,24.56
25.79,0.42,26.78,24.49
25.79,0.43,26.95,24.41
25.8,0.48,26.95,24.4
25.78,0.49,26.9,24.27
25.78,0.5,26.91,24.23
25.88,0.58,27.37,24.2
25.9,0.57,27.25,24.24
25.92,0.57,27.27,24.28
25.96,0.59,27.28,24.24
25.93,0.57,27.18,24.15
25.91,0.55,27.02,24.29
25.86,0.5,26.8,24.31
25.77,0.48,26.81,24.26
25.78,0.49,26.82,24.29
25.8,0.51,26.85,24.27
25.82,0.52,26.79,24.31
25.8,0.51,26.68,24.23
25.85,0.5,26.86,24.34
25.87,0.5,26.85,24.22
25.89,0.49,26.83,24.32
25.95,0.52,27.04,24.34
26.01,0.51,26.96,24.39
26.0,0.49,26.9,24.44
25.99,0.45,26.86,24.53
25.96,0.42,26.78,24.47
25.96,0.41,26.78,24.46
25.96,0.4,26.72,24.52
25.97,0.37,26.7,24.59
25.95,0.35,26.61,24.65
25.9,0.34,26.53,24.58
25.9,0.34,26.57,24.6
25.93,0.37,26.99,24.65
25.95,0.4,27.07,24.65
25.98,0.43,27.14,24.68
25.97,0.43,27.19,24.65
25.92,0.38,26.93,24.63
25.89,0.36,26.95,24.76
25.92,0.39,26.92,24.78
25.93,0.4,26.99,24.77
25.98,0.41,27.12,24.83
26.03,0.44,27.18,24.82
26.14,0.49,27.36,24.82
26.27,0.55,27.45,24.84
26.3,0.55,27.73,24.98
26.37,0.6,27.85,25.11
26.4,0.61,27.85,25.04
26.35,0.58,27.82,25.14
26.41,0.58,27.95,25.21
26.4,0.56,27.83,25.14
26.42,0.58,28.09,25.22
26.46,0.58,28.12,25.27
26.45,0.62,28.35,25.29
26.53,0.71,28.82,25.3
26.56,0.77,29.0,25.24
26.59,0.81,29.23,25.28
26.68,0.92,29.93,25.21
26.79,1.02,30.66,25.36
26.85,1.07,31.12,25.44
26.96,1.15,31.23,25.42
27.03,1.2,31.42,25.3
27.03,1.21,31.37,25.3
27.07,1.28,31.55,25.27
27.04,1.22,31.2,25.21
27.05,1.24,31.17,25.24
27.13,1.28,31.55,25.21
27.2,1.27,31.52,25.21
27.24,1.27,31.57,25.26
27.2,1.24,31.35,25.22
27.12,1.17,30.78,25.34
27.05,1.09,30.31,25.34
26.99,1.01,30.22,25.37
26.93,0.95,30.04,25.42
26.89,0.91,29.97,25.5
26.86,0.92,29.83,25.47
26.87,0.93,29.99,25.47
26.95,0.99,30.33,25.39
27.02,1.02,30.46,25.5
26.98,0.95,30.21,25.48
26.99,0.93,30.04,25.42
27.01,0.89,29.83,25.45
27.01,0.86,29.77,25.58
27.0,0.79,29.43,25.6
26.99,0.73,29.2,25.71
26.95,0.66,28.93,25.68
26.84,0.58,28.57,25.68
26.77,0.53,28.32,25.64
26.72,0.48,28.19,25.6
26.63,0.45,27.87,25.45
26.57,0.45,27.77,25.47
26.54,0.44,27.7,25.47
26.42,0.43,27.46,25.33
26.35,0.41,27.3,25.27
26.29,0.4,27.22,25.19
26.25,0.4,27.23,25.17
26.24,0.41,27.21,25.09
26.23,0.41,27.16,24.98
26.22,0.41,27.08,24.94
26.23,0.44,27.04,24.93
26.19,0.42,27.0,24.9
26.16,0.42,26.92,24.95
26.16,0.43,27.03,24.95
26.17,0.42,26.9,25.01
26.12,0.38,26.81,24.99
26.13,0.4,26.95,24.98
26.23,0.49,27.41,24.85
26.34,0.52,27.4,25.0
26.36,0.48,27.24,25.06
26.38,0.49,27.3,25.11
26.43,0.52,27.4,25.12
26.49,0.5,27.43,25.15
26.52,0.47,27.36,25.22
26.43,0.42,27.28,25.19
26.38,0.38,27.15,25.21
26.29,0.36,27.05,25.05
26.29,0.36,27.02,25.1
26.23,0.35,26.91,25.16
26.2,0.35,26.88,25.08
26.21,0.37,26.92,25.05
26.2,0.4,27.03,25.08
26.22,0.43,27.02,25.06
26.27,0.45,27.11,25.04
26.3,0.44,27.14,25.12
26.3,0.45,27.18,25.13
26.28,0.42,27.14,25.1
26.28,0.44,27.33,25.18
26.28,0.49,27.47,25.1
26.25,0.48,27.3,25.07
26.24,0.48,27.35,25.04
26.31,0.52,27.63,25.07
26.33,0.51,27.67,25.04
26.4,0.55,27.85,25.08
26.41,0.5,27.68,25.17
26.33,0.46,27.57,25.21
26.24,0.42,27.47,25.16
26.17,0.4,27.31,25.09
26.02,0.36,27.09,25.06
25.93,0.36,27.09,25.07
25.88,0.37,27.11,25.0
25.85,0.39,27.27,24.95
25.84,0.41,27.35,24.96
25.85,0.45,27.52,24.94
25.86,0.47,27.59,24.81
25.86,0.49,27.71,24.86
25.87,0.51,27.64,24.85
25.88,0.52,27.6,24.76
25.87,0.52,27.4,24.9
25.92,0.52,27.5,24.9
25.97,0.52,27.4,24.95
25.95,0.49,27.24,24.89
25.93,0.46,27.19,24.9
25.99,0.44,27.27,25.06
26.0,0.42,27.21,25.04
25.99,0.41,27.19,24.99
26.04,0.41,27.17,25.08
26.03,0.43,27.34,25.01
26.02,0.46,27.49,25.0
26.0,0.49,27.66,25.01
26.0,0.49,27.66,24.97
25.94,0.48,27.51,24.93
25.91,0.45,27.32,24.92
25.92,0.44,27.31,24.92
25.99,0.5,27.52,24.89
25.99,0.45,27.32,24.98
26.02,0.45,27.14,24.98
26.04,0.43,27.07,24.99
25.99,0.4,27.0,24.86
25.93,0.38,26.9,24.84
25.95,0.4,26.92,24.92
25.94,0.37,26.79,24.92
25.93,0.35,26.71,24.87
25.98,0.35,26.88,24.98
26.01,0.36,26.87,25.04
25.98,0.34,26.81,24.99
25.94,0.33,26.73,25.01
25.91,0.31,26.64,24.94
25.86,0.31,26.64,24.89
25.91,0.34,26.71,25.01
25.93,0.33,26.67,24.95
25.93,0.33,26.67,24.91
25.94,0.32,26.63,25.07
25.87,0.29,26.54,24.95
25.84,0.29,26.5,25.0
25.82,0.26,26.37,24.97
25.79,0.24,26.31,25.0
25.77,0.24,26.25,25.04
25.78,0.26,26.45,25.03
25.82,0.26,26.5,24.98
25.8,0.24,26.37,25.01
25.83,0.26,26.56,25.02
25.83,0.29,26.75,24.99
25.86,0.28,26.71,25.05
25.88,0.28,26.84,25.12
25.87,0.29,26.88,25.09
25.84,0.28,26.7,25.12
25.83,0.28,26.72,25.12
25.83,0.31,26.94,25.1
25.89,0.37,27.1,25.12
25.92,0.39,27.14,25.12
25.88,0.38,26.99,24.99
25.89,0.4,26.92,25.05
25.89,0.39,26.9,24.89
25.89,0.39,26.94,24.93
25.92,0.41,27.0,24.88
25.91,0.38,26.87,24.89
25.93,0.39,26.88,24.89
25.94,0.39,26.86,24.89
25.94,0.38,26.81,24.94
25.88,0.36,26.67,24.95
25.83,0.34,26.53,24.95
25.8,0.32,26.44,24.92
25.8,0.33,26.52,24.87
25.8,0.34,26.55,24.86
25.79,0.34,26.5,24.85
25.78,0.34,26.53,24.88
25.82,0.35,26.65,24.89
25.87,0.33,26.58,24.92
25.87,0.32,26.64,24.96
25.88,0.35,26.7,24.82
25.9,0.34,26.73,24.95
25.92,0.36,26.78,24.85
25.89,0.35,26.67,24.87
25.94,0.35,26.76,25.04
25.91,0.35,26.89,24.95
25.96,0.4,27.1,24.99
26.07,0.41,27.11,25.05
26.11,0.44,27.25,25.12
26.12,0.4,27.14,25.16
26.1,0.38,27.04,25.14
26.08,0.35,26.99,25.08
25.98,0.33,26.74,25.01
25.94,0.29,26.66,25.2
25.8,0.27,26.52,25.0
25.7,0.26,26.42,24.99
25.66,0.26,26.42,24.94
25.66,0.27,26.46,24.97
25.64,0.28,26.53,24.99
25.63,0.33,26.73,24.95
25.66,0.33,26.66,24.96
25.62,0.3,26.48,24.95
25.62,0.32,26.64,24.92
25.63,0.32,26.61,24.83
25.67,0.33,26.64,24.85
25.67,0.32,26.57,24.82
25.66,0.3,26.49,24.79
25.65,0.3,26.52,24.78
25.65,0.29,26.45,24.74
25.62,0.28,26.32,24.81
25.57,0.26,26.19,24.8
25.52,0.23,26.08,24.81
25.46,0.21,25.99,24.79
25.42,0.18,25.84,24.69
25.36,0.17,25.77,24.77
25.3,0.17,25.76,24.69
25.29,0.18,25.76,24.65
25.35,0.2,25.86,24.68
25.37,0.2,25.84,24.71
25.4,0.2,25.92,24.72
25.41,0.2,25.98,24.79
25.41,0.2,26.05,24.71
25.43,0.22,26.19,24.72
25.44,0.23,26.25,24.75
25.51,0.3,26.55,24.8
25.52,0.31,26.53,24.78
25.54,0.31,26.53,24.8
25.54,0.3,26.5,24.81
25.54,0.29,26.47,24.79
25.56,0.31,26.56,24.84
25.57,0.31,26.52,24.79
25.58,0.28,26.39,24.83
25.56,0.26,26.35,24.81
25.56,0.27,26.42,24.8
25.54,0.26,26.32,24.83
25.51,0.25,26.35,24.8
25.53,0.25,26.25,24.8
25.5,0.24,26.23,24.76
25.49,0.25,26.3,24.71
25.48,0.22,26.22,24.72
25.47,0.22,26.19,24.63
25.44,0.22,26.15,24.64
25.4,0.22,26.08,24.69
25.4,0.22,26.05,24.66
25.43,0.22,26.07,24.56
25.41,0.21,25.96,24.69
25.42,0.21,25.93,24.7
25.43,0.2,25.99,24.69
25.42,0.2,25.98,24.61
25.44,0.22,26.11,24.67
25.49,0.25,26.36,24.71
25.49,0.27,26.39,24.65
25.45,0.28,26.33,24.62
25.45,0.29,26.35,24.68
25.49,0.3,26.39,24.68
25.51,0.29,26.39,24.69
25.5,0.28,26.29,24.77
25.55,0.28,26.33,24.79
25.56,0.3,26.38,24.8
25.56,0.31,26.47,24.81
25.57,0.33,26.65,24.76
25.57,0.33,26.57,24.79
25.61,0.37,26.73,24.73
25.62,0.38,26.77,24.82
25.7,0.38,26.75,24.86
25.67,0.35,26.67,24.92
25.65,0.34,26.67,24.92
25.59,0.34,26.66,24.84
25.63,0.35,26.73,24.83
25.67,0.33,26.73,24.94
25.69,0.34,26.68,24.83
25.67,0.33,26.67,24.94
25.64,0.32,26.64,24.92
25.63,0.33,26.72,24.92
25.62,0.32,26.68,24.88
25.6,0.3,26.53,24.91
25.59,0.3,26.55,24.87
25.57,0.31,26.48,24.84
25.56,0.3,26.39,24.84
25.52,0.31,26.38,24.73
25.48,0.29,26.3,24.78
25.46,0.29,26.26,24.72
25.5,0.3,26.3,24.8
25.5,0.29,26.24,24.77
25.47,0.26,26.11,24.75
25.44,0.24,26.11,24.76
25.43,0.25,26.07,24.75
25.42,0.25,26.03,24.77
25.35,0.24,25.96,24.71
25.34,0.24,26.03,24.68
25.35,0.27,26.13,24.62
25.33,0.27,26.14,24.66
25.32,0.25,26.05,24.62
25.26,0.23,25.88,24.62
25.25,0.22,25.88,24.55
25.25,0.22,25.87,24.62
25.27,0.2,25.86,24.62
25.27,0.21,25.97,24.64
25.26,0.23,26.02,24.62
25.3,0.23,26.02,24.59
25.29,0.23,26.05,24.67
25.31,0.25,26.14,24.69
25.31,0.24,26.07,24.71
25.3,0.24,26.0,24.59
25.26,0.25,25.99,24.54
25.27,0.29,26.1,24.53
25.34,0.29,26.1,24.62
25.35,0.27,26.03,24.58
25.33,0.25,25.94,24.59
25.33,0.24,25.92,24.59
25.33,0.24,25.91,24.6
25.32,0.23,25.85,24.59
25.32,0.23,25.94,24.52
25.29,0.24,25.9,24.45
25.23,0.23,25.82,24.44
25.23,0.23,25.84,24.5
25.23,0.22,25.79,24.5
25.22,0.22,25.77,24.42
25.22,0.21,25.71,24.5
25.2,0.2,25.68,24.47
25.22,0.22,25.92,24.41
25.17,0.23,25.82,24.38
25.18,0.22,25.82,24.4
25.22,0.22,25.85,24.39
25.3,0.23,25.96,24.55
25.34,0.25,26.05,24.36
25.36,0.25,26.05,24.56
25.38,0.26,26.09,24.56
25.43,0.29,26.38,24.62
25.45,0.34,26.69,24.64
25.52,0.39,26.9,24.69
25.52,0.4,26.87,24.65
25.51,0.38,26.81,24.55
25.5,0.37,26.75,24.67
25.5,0.38,26.78,24.6
25.5,0.35,26.58,24.67
25.53,0.33,26.59,24.74
25.52,0.33,26.6,24.76
25.58,0.32,26.55,24.77
25.62,0.33,26.47,24.83
25.63,0.35,26.56,24.77
25.63,0.36,26.53,24.72
25.61,0.35,26.39,24.71
25.62,0.37,26.43,24.67
25.63,0.35,26.35,24.7
25.62,0.33,26.27,24.67
25.57,0.3,26.11,24.7
25.32,0.24,25.86,24.62
25.25,0.25,25.88,24.54
25.27,0.25,25.81,24.57
25.26,0.26,25.79,24.57
25.22,0.22,25.81,24.53
25.14,0.19,25.68,24.55
25.02,0.17,25.49,24.47
24.93,0.15,25.35,24.41
24.82,0.14,25.19,23.95
24.78,0.14,25.11,24.23
24.69,0.14,25.06,24.18
24.63,0.14,24.99,24.14
24.58,0.13,25.04,24.07
24.57,0.13,25.0,24.11
24.58,0.17,25.09,23.98
24.58,0.18,25.07,23.96
24.49,0.16,24.89,23.91
24.45,0.15,24.79,23.9
24.42,0.13,24.8,23.88
24.43,0.12,24.8,23.92
24.42,0.12,24.77,23.93
24.4,0.11,24.74,23.95
24.38,0.1,24.68,23.92
24.38,0.1,24.67,23.91
24.47,0.12,24.75,23.93
24.56,0.13,24.86,24.0
24.64,0.14,24.98,24.17
24.65,0.13,24.97,24.09
24.63,0.13,24.92,24.11
24.59,0.14,24.94,24.01
24.56,0.13,24.92,24.01
24.56,0.12,24.91,24.04
24.56,0.12,24.98,23.99
24.61,0.13,24.93,24.05
24.6,0.12,24.96,24.08
24.61,0.13,24.92,24.05
24.62,0.16,24.98,23.94
24.67,0.18,25.12,23.99
24.62,0.19,25.04,23.98
24.65,0.19,25.06,23.99
24.68,0.22,25.16,23.98
24.66,0.21,25.05,24.0
24.69,0.21,25.15,24.01
24.73,0.24,25.33,24.01
24.77,0.25,25.31,24.05
24.75,0.24,25.21,24.05
24.7,0.22,25.15,24.02
24.7,0.22,25.1,24.03
24.73,0.23,25.22,23.92
24.73,0.23,25.27,24.04
24.83,0.25,25.39,24.17
24.96,0.3,25.54,24.15
25.06,0.35,25.79,24.11
25.11,0.37,25.79,24.14
25.25,0.42,26.06,24.14
25.41,0.46,26.24,24.11
25.52,0.45,26.34,24.21
25.6,0.42,26.28,24.22
25.66,0.4,26.35,24.3
25.74,0.42,26.59,24.38
25.72,0.41,26.52,24.44
25.63,0.37,26.33,24.46
25.62,0.37,26.42,24.54
25.64,0.36,26.34,24.59
25.66,0.36,26.3,24.63
25.71,0.4,26.35,24.64
25.7,0.37,26.31,24.71
25.67,0.33,26.22,24.73
25.66,0.3,26.17,24.77
25.69,0.33,26.29,24.8
25.74,0.4,26.64,24.73
25.81,0.39,26.64,24.83
25.84,0.43,26.86,24.86
25.88,0.45,26.74,24.8
25.88,0.42,26.67,24.8
25.89,0.44,26.84,24.77
25.93,0.46,26.91,24.81
25.9,0.42,26.76,24.76
25.91,0.4,26.73,24.71
25.91,0.39,26.69,24.8
25.89,0.38,26.61,24.74
25.87,0.37,26.52,24.73
25.87,0.35,26.48,24.74
25.86,0.34,26.45,24.77
25.88,0.37,26.61,24.76
25.91,0.4,26.59,24.77
25.9,0.37,26.64,24.73
25.84,0.37,26.77,24.72
25.83,0.36,26.67,24.66
25.81,0.34,26.54,24.74
25.76,0.32,26.53,24.71
25.71,0.3,26.47,24.71
25.73,0.33,26.71,24.77
25.66,0.31,26.61,24.74
25.6,0.28,26.49,24.65
25.53,0.26,26.45,24.65
25.46,0.25,26.34,24.6
25.42,0.23,26.26,24.68
25.35,0.22,26.19,24.58
25.3,0.2,26.05,24.61
25.27,0.19,25.96,24.6
25.24,0.19,25.87,24.6
25.26,0.18,25.85,24.57
25.22,0.17,25.76,24.58
25.22,0.17,25.71,24.56
25.27,0.15,25.72,24.6
25.25,0.14,25.68,24.59
25.17,0.13,25.57,24.53
25.15,0.12,25.5,24.53
25.09,0.11,25.44,24.5
25.06,0.11,25.38,24.5
25.05,0.11,25.37,24.55
25.04,0.11,25.34,24.46
25.05,0.12,25.38,24.54
25.03,0.12,25.36,24.51
25.04,0.1,25.36,24.55
24.99,0.1,25.3,24.43
25.03,0.13,25.59,24.45
25.03,0.14,25.53,24.46
25.03,0.15,25.59,24.37
25.05,0.18,25.69,24.41
25.06,0.2,25.75,24.34
25.1,0.19,25.71,24.44
25.11,0.19,25.72,24.43
25.09,0.17,25.73,24.38
25.08,0.16,25.66,24.47
25.07,0.15,25.64,24.5
25.02,0.13,25.46,24.43
24.98,0.12,25.36,24.48
24.97,0.12,25.33,24.47
24.97,0.12,25.42,24.46
24.96,0.13,25.39,24.45
24.89,0.14,25.34,24.41
24.87,0.14,25.34,24.43
24.91,0.15,25.37,24.4
24.91,0.14,25.31,24.37
24.94,0.12,25.27,24.47
24.94,0.14,25.45,24.28
24.96,0.14,25.4,24.44
24.92,0.12,25.31,24.41
24.88,0.13,25.41,24.38
24.91,0.15,25.51,24.34
24.94,0.16,25.48,24.38
24.94,0.15,25.45,24.42
25.0,0.16,25.47,24.48
25.0,0.15,25.42,24.55
25.01,0.19,25.54,24.49
25.04,0.25,25.74,24.49
25.1,0.26,25.73,24.48
25.19,0.27,25.73,24.52
25.24,0.26,25.76,24.65
25.24,0.26,25.72,24.66
25.28,0.29,25.81,24.6
25.3,0.32,26.01,24.66
25.29,0.34,26.08,24.58
25.31,0.34,26.08,24.6
25.29,0.32,25.96,24.63
25.25,0.3,25.99,24.56
25.31,0.38,26.26,24.58
25.32,0.36,26.22,24.59
25.35,0.33,26.11,24.63
25.38,0.31,26.1,24.69
25.33,0.29,26.02,24.71
25.29,0.26,25.88,24.68
25.24,0.24,25.88,24.64
25.2,0.25,25.93,24.61
25.27,0.3,26.03,24.57
25.24,0.26,25.92,24.55
25.22,0.24,25.85,24.5
25.19,0.22,25.76,24.53
25.16,0.21,25.73,24.5
25.14,0.2,25.6,24.58
25.11,0.19,25.56,24.53
25.09,0.18,25.53,24.53
25.06,0.2,25.57,24.49
25.04,0.19,25.53,24.45
