Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
25.71,1.11,40.56,23.88
25.78,1.27,40.37,23.89
25.87,1.33,38.01,23.76
25.85,1.23,37.33,23.98
25.8,1.16,35.65,23.95
25.78,1.14,34.97,23.95
25.82,1.33,37.15,23.98
25.85,1.35,37.21,23.89
25.93,1.49,40.84,23.93
25.99,1.59,40.48,23.87
26.14,1.72,41.35,23.94
26.21,1.69,38.89,24.02
26.31,1.75,41.82,24.07
26.34,1.76,40.52,24.05
26.35,1.74,38.23,24.05
26.35,1.73,37.84,24.03
26.34,1.63,34.94,24.05
26.29,1.48,33.3,23.95
26.24,1.4,39.47,24.04
26.29,1.49,39.42,24.04
26.34,1.56,40.81,23.98
26.4,1.6,38.48,23.92
26.38,1.66,38.72,23.92
26.37,1.7,38.77,23.93
26.35,1.72,39.07,23.9
26.31,1.73,42.49,23.88
26.3,1.83,42.32,23.81
26.34,2.04,45.01,23.83
26.39,2.12,43.87,23.85
26.36,2.06,39.99,23.79
26.33,1.97,40.03,23.89
26.27,1.82,40.11,23.9
26.24,1.77,39.79,23.89
26.21,1.71,37.25,23.8
26.18,1.64,34.83,23.88
26.09,1.46,33.11,23.86
25.99,1.31,31.82,23.9
25.91,1.16,30.98,23.84
25.84,1.04,30.18,23.88
25.73,0.94,29.45,23.8
25.68,0.87,29.5,23.88
25.63,0.82,28.91,23.86
25.6,0.74,29.53,23.83
25.47,0.56,27.7,23.83
25.37,0.41,26.72,23.79
25.32,0.32,26.46,23.91
25.25,0.27,26.29,23.9
25.21,0.24,26.21,23.92
25.16,0.23,26.29,23.85
25.13,0.26,26.34,23.93
25.07,0.28,26.26,23.82
25.04,0.28,26.4,23.88
25.01,0.29,26.38,23.8
24.98,0.31,26.4,23.95
24.98,0.34,26.46,23.88
24.94,0.33,26.33,23.89
24.92,0.33,26.03,23.84
24.88,0.32,26.11,23.84
24.88,0.33,26.17,23.8
24.84,0.32,26.03,23.84
24.86,0.32,26.18,23.85
24.86,0.32,26.18,23.85
25.06,0.33,26.29,24.02
25.13,0.32,26.31,24.13
25.16,0.32,26.52,24.14
25.16,0.32,26.31,24.14
25.15,0.32,26.4,24.13
25.15,0.31,26.26,24.13
25.13,0.31,26.29,24.1
25.16,0.31,26.22,24.11
25.16,0.3,26.1,24.11
25.15,0.29,26.17,24.07
25.14,0.29,26.08,24.13
25.13,0.29,26.22,24.16
25.12,0.28,26.11,24.12
25.09,0.29,26.07,24.08
25.1,0.29,26.1,24.05
25.09,0.28,26.08,24.09
25.07,0.28,26.01,24.09
25.07,0.29,26.16,24.06
25.07,0.29,26.1,24.05
25.09,0.3,26.22,24.02
25.11,0.32,26.27,23.98
25.09,0.31,26.05,24.05
25.1,0.32,26.25,24.01
25.14,0.32,26.19,24.04
25.13,0.31,26.14,24.08
25.14,0.31,26.16,24.08
25.14,0.31,26.16,24.08
25.15,0.3,26.2,24.03
25.17,0.29,26.03,24.11
25.17,0.29,26.03,24.11
25.21,0.29,26.11,24.15
25.2,0.28,26.3,24.19
25.2,0.29,26.26,24.15
25.17,0.28,26.24,24.1
25.17,0.28,26.11,24.13
25.14,0.27,26.2,24.11
25.14,0.27,26.02,24.1
25.14,0.27,25.99,24.15
25.2,0.26,26.31,24.18
25.23,0.26,26.19,24.21
25.23,0.26,26.3,24.21
25.19,0.25,26.18,24.15
25.16,0.24,26.07,24.13
25.14,0.24,26.14,24.14
25.13,0.24,26.12,23.47
25.13,0.23,26.12,24.02
25.12,0.23,26.1,23.99
25.13,0.23,26.08,24.06
25.21,0.23,26.01,24.15
25.2,0.23,26.09,24.13
25.21,0.23,25.99,24.18
25.27,0.22,26.11,24.17
25.23,0.22,26.14,24.15
25.22,0.22,26.03,24.06
25.22,0.22,26.07,24.13
25.22,0.21,25.97,24.09
25.21,0.21,26.01,24.11
25.23,0.21,26.08,24.1
25.26,0.21,26.05,24.12
25.25,0.21,26.11,24.17
25.25,0.21,26.07,24.18
25.23,0.21,26.06,24.2
25.18,0.21,26.1,24.11
25.17,0.22,26.17,24.08
25.17,0.22,26.11,24.08
25.15,0.21,26.03,24.08
25.14,0.21,25.93,24.08
25.15,0.2,26.17,24.14
25.15,0.2,26.11,24.1
25.16,0.2,25.97,24.13
25.19,0.19,25.98,24.16
25.18,0.19,26.0,24.0
25.16,0.19,25.94,24.06
25.15,0.18,25.95,23.99
25.18,0.18,26.0,24.05
25.18,0.18,25.96,24.14
25.14,0.19,26.01,24.05
25.14,0.19,25.88,24.05
25.14,0.2,25.95,24.02
25.14,0.2,26.07,23.95
25.14,0.2,26.0,24.07
25.16,0.19,26.11,24.08
25.15,0.18,25.89,24.09
25.16,0.18,26.05,24.09
25.16,0.18,25.94,24.06
25.15,0.18,25.99,23.97
25.17,0.18,25.96,24.09
25.16,0.17,26.0,24.05
25.14,0.17,25.87,24.08
25.14,0.16,25.88,23.84
25.14,0.16,25.91,24.0
25.16,0.16,25.91,24.1
25.16,0.16,25.91,24.05
25.21,0.16,25.98,24.06
25.2,0.15,25.93,24.13
25.27,0.15,26.17,24.24
25.24,0.15,26.11,24.15
25.24,0.15,25.92,24.21
25.2,0.15,25.98,24.14
25.16,0.15,26.09,24.08
25.17,0.16,26.06,24.08
25.18,0.15,25.88,24.09
25.19,0.15,25.96,24.13
25.19,0.15,26.01,24.07
25.2,0.16,25.99,24.1
25.2,0.27,34.1,24.03
25.26,0.37,34.27,24.05
25.33,0.44,32.48,24.06
25.39,0.48,31.29,24.12
25.45,0.57,31.28,24.11
25.55,0.71,36.41,24.14
25.59,0.73,33.46,24.14
25.64,0.76,33.72,24.17
25.67,0.77,33.21,24.12
25.69,0.81,36.15,24.21
25.75,0.95,38.33,24.12
25.83,1.14,40.11,24.14
25.94,1.24,37.87,24.14
25.99,1.2,35.0,24.2
25.98,1.06,33.07,24.23
25.94,0.94,31.73,24.24
25.86,0.89,33.35,24.2
25.86,0.87,32.46,24.08
25.9,0.87,31.3,24.17
25.9,0.82,33.07,24.18
25.84,0.85,34.67,24.15
25.85,0.89,34.74,24.17
25.88,0.95,36.32,24.14
25.89,0.96,35.45,24.14
25.98,1.2,41.26,24.14
26.05,1.33,42.64,24.15
26.12,1.46,40.41,24.08
26.17,1.56,40.72,24.11
26.21,1.56,38.97,24.21
26.06,1.25,35.14,24.18
25.93,0.99,32.69,24.17
25.85,0.84,31.48,24.19
25.8,0.76,30.96,24.24
25.65,0.63,31.17,24.22
25.58,0.67,32.37,24.07
25.57,0.7,32.29,24.2
25.52,0.63,30.96,24.13
25.48,0.53,29.34,24.17
25.46,0.52,30.34,24.13
