Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
24.9,0.03,25.05,24.75
24.89,0.02,25.06,24.76
24.87,0.02,25.0,24.73
24.88,0.02,25.05,24.73
24.87,0.02,24.99,24.72
24.84,0.02,25.07,24.71
24.84,0.02,24.99,24.67
24.86,0.02,24.99,24.72
24.83,0.03,24.99,24.68
24.83,0.03,24.96,24.68
24.85,0.03,25.02,24.7
24.85,0.03,25.04,24.71
24.83,0.03,24.97,24.67
24.84,0.03,24.99,24.7
24.86,0.03,25.0,24.69
24.83,0.03,24.97,24.65
24.83,0.03,24.95,24.68
24.82,0.03,24.98,24.67
24.83,0.03,24.95,24.68
24.8,0.03,24.94,24.66
24.81,0.03,25.01,24.66
24.8,0.03,24.95,24.6
24.83,0.03,25.03,24.67
24.83,0.03,25.01,24.65
24.83,0.03,24.96,24.68
24.82,0.02,25.0,24.7
24.81,0.02,24.94,24.65
24.77,0.03,24.89,24.62
24.77,0.02,24.95,24.6
24.79,0.03,24.99,24.65
24.79,0.02,24.95,24.64
24.78,0.02,24.94,24.61
24.78,0.02,24.94,24.61
24.79,0.02,24.94,24.64
24.79,0.02,24.96,24.64
24.79,0.02,24.91,24.64
24.79,0.02,24.95,24.48
24.79,0.02,24.95,24.59
24.78,0.02,24.95,24.55
24.77,0.02,24.91,24.52
24.74,0.02,24.85,24.56
24.73,0.02,24.85,24.52
24.75,0.02,24.87,24.49
24.72,0.02,24.85,24.58
24.71,0.02,24.84,24.58
24.69,0.02,24.81,24.55
24.72,0.02,24.85,24.55
24.8,0.02,24.94,24.65
24.96,0.08,25.22,24.69
24.97,0.08,25.17,24.66
25.07,0.19,26.46,24.73
25.3,0.42,27.62,24.71
25.41,0.54,27.49,24.73
25.45,0.53,27.51,24.74
25.56,0.59,27.62,24.82
25.63,0.57,27.4,24.82
25.62,0.51,27.14,24.85
25.56,0.47,26.91,24.83
25.54,0.43,26.75,24.82
25.49,0.39,26.6,24.75
25.47,0.37,26.46,24.76
25.42,0.34,26.31,24.78
25.43,0.33,26.32,24.79
25.43,0.32,26.16,24.81
25.44,0.29,26.15,24.83
25.51,0.28,26.16,24.89
25.49,0.27,26.23,24.85
25.49,0.26,26.2,24.88
25.47,0.23,26.11,24.91
25.43,0.24,26.02,24.81
25.42,0.23,26.0,24.82
25.37,0.22,25.88,24.87
25.35,0.22,26.02,24.83
25.39,0.28,26.77,24.85
25.47,0.33,26.26,24.82
25.47,0.35,26.25,24.79
25.46,0.32,26.22,24.89
25.46,0.33,26.64,24.89
25.55,0.45,26.79,24.89
25.55,0.53,27.71,24.85
25.66,0.74,27.45,24.85
25.7,0.85,27.92,24.84
25.68,0.87,27.86,24.79
25.71,0.84,27.88,24.81
25.78,0.9,28.41,24.82
25.84,0.95,28.33,24.79
25.77,0.88,28.0,24.76
25.72,0.87,27.99,24.74
25.78,0.98,28.63,24.76
25.93,1.08,28.92,24.85
25.9,0.99,28.52,24.84
25.91,0.97,28.3,24.83
25.83,0.89,27.95,24.85
25.78,0.78,27.61,24.89
25.73,0.69,27.26,24.85
25.8,0.74,27.68,24.89
25.83,0.75,27.37,24.84
25.81,0.73,27.51,24.9
25.75,0.67,27.27,24.9
25.72,0.7,27.57,24.82
25.74,0.71,27.63,24.9
25.72,0.73,27.43,24.85
25.81,0.75,27.34,24.87
25.81,0.81,27.71,24.88
25.81,0.8,27.67,24.89
25.97,1.12,29.22,24.89
25.98,1.15,29.05,24.93
25.96,1.11,29.27,24.93
26.0,1.17,29.33,24.93
26.07,1.26,29.53,24.92
25.97,1.18,28.96,24.89
25.95,1.17,28.89,24.86
25.9,1.11,28.66,24.89
25.86,1.11,28.76,24.87
25.87,1.15,28.9,24.83
25.87,1.1,28.66,24.85
25.85,1.08,28.47,24.85
25.8,1.03,28.22,24.81
25.73,0.96,28.11,24.76
25.64,0.87,27.75,24.79
25.76,0.95,28.11,24.87
25.71,0.88,27.79,24.86
25.67,0.84,27.65,24.88
25.64,0.78,27.45,24.89
25.57,0.72,27.29,24.83
